access_count,SEX_F,SEX_M,age_group,income_group,account_age,LIFESTAGE_1,LIFESTAGE_2,LIFESTAGE_3,LIFESTAGE_4,LIFESTAGE_5,LIFESTAGE_6,LIFESTAGE_7,LIFESTAGE_8,LIFESTAGE_9,LIFESTAGE_10,nh_level,invest_exp_group,HOLDINGS_TYPE_1.0,HOLDINGS_TYPE_2.0,HOLDINGS_TYPE_3.0,HOLDINGS_TYPE_4.0,loyalty,SECTOR_1.0,SECTOR_2.0,SECTOR_3.0,SECTOR_4.0,SECTOR_5.0,SECTOR_6.0,SECTOR_7.0,SECTOR_8.0,SECTOR_9.0,SECTOR_10.0,SECTOR_11.0,SECTOR_12.0,SECTOR_13.0,SECTOR_14.0,SECTOR_15.0,SECTOR_16.0,kr_stock_yn,overseas_stock_yn,risk_tolerance,sophistication,stock_wealth_level,trading_frequency,peak_asset_value,leverage
1,1,0,0.5,0,0.055461146,0,0,0,0,1,0,0,0,0,0,0.666666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0.75,0.7,0.122254994,0
1,1,0,0.5,0,0.042484165,0,0,0,0,0,1,0,0,0,0,0.333333333,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0.25,0.9,0.025125833,0
1,1,0,0.375,0,0.040630311,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.003680441,0
0.4,0,1,0.625,0,0.03591843,0,0,0,0,1,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000361672,0
0.4,1,0,0,0,0.028194037,0,1,0,0,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.1,9.46E-05,0
0.8,0,1,0.5,0,0.020624131,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333333333,0.25,0.7,0.015562289,0
1,0,1,0.875,0,0.412250888,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0,0.8,0.004718526,0
1,1,0,1,0,0.946006488,0,0,0,0,0,0,0,0,1,0,0.333333333,1,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.8,0.03385243,0
0.6,0,1,0.625,0,0.42445543,0,0,0,0,0,0,1,0,0,0,0.166666667,0.8,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000873844,0
1,1,0,0.375,0,0.26471497,0,0,0,1,0,0,0,0,0,0,0.333333333,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0.25,0.6,0.012716153,0
1,0,1,0.625,0,0.202456357,0,0,0,0,1,0,0,0,0,0,0.666666667,0.8,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.333333333,0.75,0.9,0.139441086,0
0,1,0,0.375,0,0.166228951,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.005190612,0
1,0,1,0.125,0,0.126525568,0,1,0,0,0,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.666666667,0,0.8,0.0021222,0
1,0,1,0.25,0,0.115943148,0,0,1,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0,0.8,0.000382037,0
0.8,0,1,0.5,0,0.076857717,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.00252121,0
0.2,0,1,0,0,0.052139657,1,0,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.333333333,0,0.6,0.005338763,0
1,0,1,1,0,0.043102116,0,0,0,0,0,0,0,0,1,0,0.5,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0.5,1,0.053805894,0
0,0,1,0,0,0.037849529,1,0,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.003496622,0
0.2,1,0,0.375,0,0.037386065,0,0,0,1,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000550188,0
0.2,0,1,0.75,0,0.036999846,0,0,0,0,1,0,0,0,0,0,0.333333333,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000355727,0
1,0,1,0.125,0,0.031901746,0,1,0,0,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.2,0.000922315,0
0,1,0,0.375,0,0.022014522,0,0,0,1,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.1,4.88E-06,0
1,1,0,0.875,0,0.014599104,0,0,0,0,1,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.005190276,0
0.2,0,1,0,0,0.008728565,1,0,0,0,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.000585253,0
1,1,0,0.875,0,0.628379422,0,0,0,0,0,1,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.25,0.1,0.010884848,0
1,0,1,0.875,0,0.754287038,0,0,0,0,1,0,0,0,0,0,0.5,1,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.5,0.9,0.066563196,0
0.8,1,0,0,0,0.408774911,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.2,0.002249216,0
0.2,1,0,0.75,0,0.166228951,0,0,0,0,1,0,0,0,0,0,0.5,0.6,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.8,0.02985234,0
1,1,0,0.625,0,0.076471497,0,0,0,0,0,1,0,0,0,0,0.333333333,0.4,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.8,0.027091829,0
0,1,0,0,0,0.06573459,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.00211147,0
1,0,1,0.5,0,0.063803491,0,0,0,0,1,0,0,0,0,0,0.333333333,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.7,0.028431902,0
0.4,1,0,0.625,0,0.048509192,0,0,0,0,1,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.000240983,0
1,1,0,0,0,0.037231577,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0,0.7,0.001475881,0
1,0,1,0.75,0,0.036459138,0,0,0,0,0,0,1,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000392275,0
1,1,0,0.125,0,0.03414182,0,1,0,0,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0,0.7,0.00040319,0
1,0,1,0.5,0,0.031670014,0,0,0,0,1,0,0,0,0,0,0.5,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0.5,0.6,0.111470335,0
0.6,0,1,0.625,0,0.028116793,0,0,0,0,0,0,1,0,0,0,0.333333333,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.666666667,0.25,0.8,0.033327887,0
1,1,0,0,0,0.02688089,0,1,0,0,0,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.666666667,0.25,0.8,0.008396521,0
0.6,0,1,0.125,0,0.022941449,0,1,0,0,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000830929,0
0.6,1,0,0.5,0,0.391472269,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.001572457,0
0.6,0,1,0.5,0,0.239301715,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333333333,0.25,0.7,0.010913631,0
0,0,1,0.5,0,0.038158505,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.00328495,0
1,1,0,0,0,0.062490345,0,1,0,0,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.001148379,0
0.6,0,1,0,0,0.05376178,1,0,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.005320017,0
0.4,1,0,0.25,0,0.051135486,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.2,0.001117219,0
1,1,0,0.25,0,0.044183532,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.00350129,0
1,0,1,1,0,0.041248262,0,0,0,0,0,0,0,0,1,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.7,0.007364463,0
1,1,0,0.75,0,0.036999846,0,0,0,0,0,1,0,0,0,0,0.333333333,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0.25,0.8,0.014082101,0
1,0,1,0.5,0,0.034219064,0,0,0,0,1,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.00109767,0
1,1,0,0.75,0,0.019697204,0,0,0,0,0,1,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0,0.7,0.000133502,0
1,1,0,0.25,0,0.017920593,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0,0.7,0.00476304,0
1,1,0,0.375,0,0.37872702,0,0,0,1,0,0,0,0,0,0,0.333333333,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333333333,0.25,0.5,0.019572865,0
1,0,1,1,0,0.938822802,0,0,0,0,0,0,0,0,1,0,0.666666667,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0.25,0.8,0.019377353,0
0.6,1,0,1,0,0.925768577,0,0,0,0,0,0,0,0,1,0,0.166666667,0.8,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.005396723,0
1,0,1,0.875,0,0.69171945,0,0,0,0,1,0,0,0,0,0,0.333333333,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.7,0.015383177,0
1,0,1,0.25,0,0.106828364,0,0,1,0,0,0,0,0,0,0,0.333333333,0.6,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0.25,0.5,0.03284163,0
1,0,1,0.5,0,0.065580102,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.5,0.003188975,0
0.8,1,0,0.5,0,0.064035223,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000741343,0
0.4,1,0,0.5,0,0.060559246,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.004159252,0
1,1,0,0.875,0,0.05376178,0,0,0,0,0,0,0,1,0,0,0.666666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.333333333,0.5,1,0.11787971,0
0.8,0,1,0.25,0,0.04101653,0,0,1,0,0,0,0,0,0,0,0.333333333,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.333333333,0.25,0.7,0.014257019,0
1,1,0,0.375,0,0.039394408,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0.25,0.7,0.008969001,0
1,0,1,1,0,0.036536382,0,0,0,0,0,0,0,0,1,0,0.166666667,0.4,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666667,0.25,0.8,0.017213781,0
0.4,1,0,0.375,0,0.036459138,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.2,0.004047321,0
0.2,1,0,0.375,0,0.03197899,0,0,0,1,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.1,1.10E-05,0
0.8,0,1,0.625,0,0.021242082,0,0,0,0,1,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.333333333,0,0.6,3.86E-06,0
0,0,1,0.5,0,0.000617951,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.333333333,0,0.7,2.91E-05,0
0.8,0,1,0.5,0,0.111154024,0,0,0,0,1,0,0,0,0,0,0.166666667,0.6,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.002869804,0
1,1,0,0.125,0,0.079020547,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0.25,0.7,0.006670801,0
1,0,1,0.25,0,0.074385911,0,0,1,0,0,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.7,0.007576197,0
1,1,0,0.5,0,0.065425614,0,0,0,0,0,1,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.9,0.010568553,0
1,0,1,0.5,0,0.062335857,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.002498899,0
1,1,0,0.25,0,0.057778464,0,0,0,1,0,0,0,0,0,0,0.666666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.333333333,0.75,0.8,0.141383198,0
0.8,1,0,0.5,0,0.050517534,0,0,0,0,0,1,0,0,0,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.003504717,0
1,1,0,0.25,0,0.0490499,0,0,0,1,0,0,0,0,0,0,0.5,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.5,0.7,0.05255015,0
0.4,1,0,0.5,0,0.048354704,0,0,0,0,0,0,0,1,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.000125322,0
1,1,0,0.25,0,0.03846748,0,0,0,1,0,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.003919048,0
0.4,1,0,0.5,0,0.038004017,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.5,0.002367836,0
1,0,1,0.125,0,0.037077089,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333333333,0.25,0.7,0.010170674,0
1,1,0,0.25,0,0.032674185,0,0,0,1,0,0,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.00066066,0
1,1,0,0.5,0,0.032519697,0,0,0,0,0,1,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,8.27E-05,0
0.8,1,0,0.125,0,0.023404913,0,1,0,0,0,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.666666667,0,0.7,0.001785781,0
1,1,0,0.75,0,0.019697204,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.003135152,0
1,0,1,0.25,0,0.383670632,0,0,1,0,0,0,0,0,0,0,0.333333333,1,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.25,0.1,0.018557269,0
1,1,0,0.5,0,0.447165148,0,0,0,0,1,0,0,0,0,0,0.333333333,0.6,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333333333,0.25,0.6,0.011155506,0
1,0,1,0.375,0,0.063726247,0,0,1,0,0,0,0,0,0,0,0.666666667,0.4,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.333333333,0.5,0.9,0.088917974,0.184158215
1,1,0,0.375,0,0.064421443,0,0,0,1,0,0,0,0,0,0,0.333333333,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0.25,0.6,0.010798689,0
1,0,1,0.75,0,0.058319172,0,0,0,0,1,0,0,0,0,0,0.5,0.4,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.333333333,0.5,0.8,0.071514714,0.126192252
0.6,1,0,0.875,0,0.056542561,0,0,0,0,0,1,0,0,0,0,0.166666667,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.000268062,0
1,1,0,0.375,0,0.051058242,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.333333333,0,0.7,0.001579507,0
0.8,0,1,0.125,0,0.044878727,0,1,0,0,0,0,0,0,0,0,0.166666667,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.1,0.002738947,0
0.4,1,0,0.125,0,0.039626139,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.5,0.002635214,0
0.8,0,1,0.875,0,0.039471651,0,0,0,0,0,0,1,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.002485696,0
0.6,0,1,0.875,0,0.037695041,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.7,0.002593762,0
0.8,1,0,0.125,0,0.036227406,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.333333333,0,0.6,0.00195048,0
0.4,1,0,0.875,0,0.397497296,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.1,0.00118804,0
0.8,1,0,0.625,0,0.628224934,0,0,0,0,0,1,0,0,0,0,0.5,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.25,0.1,0.016060379,0
0,1,0,0.625,0,0.125444153,0,0,0,0,1,0,0,0,0,0,0.5,0.6,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,0.1,0.035372597,0
0.4,0,1,0.75,0,0.116870076,0,0,0,0,1,0,0,0,0,0,0.5,0.6,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,0.1,0.064529516,0
1,1,0,0.125,0,0.109222926,0,1,0,0,0,0,0,0,0,0,0.333333333,0.6,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.25,0.7,0.018804715,0
1,1,0,0.625,0,0.064035223,0,0,0,0,1,0,0,0,0,0,0.666666667,0.4,1,0,0,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333333333,0.75,1,0.144269242,0
