,index,Unnamed: 0,act_no,access_count,SEX_F,SEX_M,age_group,income_group,account_age,LIFESTAGE_1,LIFESTAGE_2,LIFESTAGE_3,LIFESTAGE_4,LIFESTAGE_5,LIFESTAGE_6,LIFESTAGE_7,LIFESTAGE_8,LIFESTAGE_9,LIFESTAGE_10,nh_level,invest_exp_group,HOLDINGS_TYPE_1.0,HOLDINGS_TYPE_2.0,HOLDINGS_TYPE_3.0,HOLDINGS_TYPE_4.0,loyalty,SECTOR_1.0,SECTOR_2.0,SECTOR_3.0,SECTOR_4.0,SECTOR_5.0,SECTOR_6.0,SECTOR_7.0,SECTOR_8.0,SECTOR_9.0,SECTOR_10.0,SECTOR_11.0,SECTOR_12.0,SECTOR_13.0,SECTOR_14.0,SECTOR_15.0,SECTOR_16.0,kr_stock_yn,overseas_stock_yn,risk_tolerance,sophistication,stock_wealth_level,trading_frequency,peak_asset_value,value_weighted_volatility,leverage,TOTAL_DURATION,TOTAL_VIEW_CNT,TOTAL_FOREIGN,TOTAL_ADV,TOTAL_AI,TOTAL_NTP,TOTAL_MAT
14,17,17,19,6,1,0,9,1,12338,0,0,0,0,0,0,0,0,1,0,3,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,9,29120750,28.87224029,0,54237303,2514,12174,0,0,0,172721
15,18,18,21,4,0,1,6,1,5586,0,0,0,0,0,0,1,0,0,0,2,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,751704,33.80258765,0,36043,20,0,0,0,0,0
16,19,19,22,6,1,0,4,1,3518,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,7,10938769,47.86575449,0,3110871,192,0,0,0,0,0
17,20,20,23,6,0,1,6,1,2712,0,0,0,0,1,0,0,0,0,0,5,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,10,119950886,31.04784811,0,9255360,359,18854,0,0,0,881
18,21,21,24,1,1,0,4,1,2243,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,4465101,46.00980498,0,132486,2,0,0,0,0,0
19,22,22,25,6,0,1,2,1,1729,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,9,1825572,27.33681408,0,4432318,389,1194513,1153,0,0,197
20,23,23,26,6,0,1,3,1,1592,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,9,328638,46.06006265,0,5953627,218,50,9871,0,4584,12326
21,24,24,27,5,0,1,5,1,1086,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,2168811,89.72113822,0,40988,5,0,0,0,0,26374
22,25,25,28,2,0,1,1,1,766,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,7,4592544,29.28601484,0,13902558,363,12071642,224042,0,12302,42047
23,26,26,29,6,0,1,9,1,649,0,0,0,0,0,0,0,0,1,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,11,46285244,46.60708215,0,74821775,1837,8287127,5854,0,0,4373
24,28,28,31,2,1,0,4,1,575,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,473286,31.98408062,0,9939,1,0,0,0,0,0
25,30,30,33,6,0,1,2,1,504,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,3,793400,22.6672,0,80850248,1241,0,0,0,0,0
26,32,32,35,6,1,0,8,1,280,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,4464812,47.68419375,0,318101,19,0,0,0,0,0
27,33,33,36,2,0,1,1,1,204,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,503450,25.70592217,0,126940,11,668,0,0,0,0
28,34,34,37,6,1,0,8,1,8226,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,2,9363432,24.41774085,0,81068,5,0,0,0,0,0
29,35,35,38,6,0,1,8,1,9856,0,0,0,0,1,0,0,0,0,0,4,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,10,57259410,40.02961522,0,44404659,522,253,20244740,0,64,264
30,36,36,39,5,1,0,1,1,5383,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,3,1934835,25.67907805,0,5212,3,0,0,0,0,0
31,37,37,40,2,1,0,7,1,2243,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,9,25679767,53.30166659,0,1463421,32,1375020,0,0,0,0
32,38,38,41,6,1,0,6,1,1081,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,9,23305103,36.9780231,0,14737404,373,0,3055,0,0,959
33,39,39,42,1,1,0,1,1,942,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,1816342,21.4687,0,98,1,0,0,0,0,0
34,40,40,43,6,0,1,5,1,917,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,24457869,37.39104558,0,69287,21,0,0,0,0,274
35,41,41,44,3,1,0,6,1,719,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,207300,32.03982301,0,13174,1,0,0,0,0,0
36,42,42,45,6,1,0,1,1,573,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,8,1269592,41.90921523,0,4387701,33,0,0,0,0,61
37,45,45,48,6,0,1,5,1,501,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,3,7,95889711,4.871735504,0,65702,1,0,0,0,0,0
38,46,46,49,4,0,1,6,1,455,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,9,28669524,85.71154784,0,109450,47,250,0,7303,0,165
39,47,47,50,6,1,0,1,1,439,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,9,7222908,26.59368216,0,2965623,78,918256,0,0,0,0
40,48,48,52,4,0,1,2,1,388,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,714787,23.04815934,0,227,2,0,0,0,0,0
41,49,49,55,4,1,0,5,1,5159,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,1352669,25.57457944,0,179604,6,0,0,0,0,0
42,50,50,57,4,0,1,5,1,3189,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,8,9388192,25.7709639,0,1561149,11,0,0,0,0,0
43,52,52,59,6,1,0,1,1,900,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,987866,23.73441855,0,375887,25,373864,98,0,0,0
44,55,55,62,6,1,0,3,1,663,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,3011902,22.13047051,0,35917,20,0,0,0,0,0
45,56,56,63,6,0,1,9,1,625,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,6335105,33.84265063,0,33844,2,0,0,0,0,0
46,57,57,64,6,1,0,7,1,570,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,9,12113793,39.29648094,0,7506447,405,134,0,0,0,0
47,58,58,66,6,0,1,5,1,534,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,944245,29.5647405,0,4286984,42,0,0,0,0,70
48,59,59,68,6,1,0,7,1,346,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,8,114842,16.14417465,0,1009417,127,53,0,7720,0,264
49,60,60,69,6,1,0,3,1,323,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,8,4097292,25.12388607,0,155009,27,243,0,0,2935,303
50,61,61,70,6,1,0,4,1,4994,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,6,16837093,54.67529228,0,112207,1,0,0,0,0,0
51,62,62,71,6,0,1,9,1,12245,0,0,0,0,0,0,0,0,1,0,5,6,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,9,16668908,28.95281007,0,258817501,4901,13432,0,0,0,381233
52,63,63,72,4,1,0,9,1,12076,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,4642403,39.85257218,0,664635,1,0,0,0,0,0
53,64,64,73,6,0,1,8,1,9046,0,0,0,0,1,0,0,0,0,0,3,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,13233013,40.30018871,0,21720747,795,0,0,0,0,1531
54,65,65,74,6,0,1,3,1,1474,0,0,1,0,0,0,0,0,0,0,3,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,6,28251233,27.974501,0,5655619,140,0,0,0,0,787
55,66,66,75,6,0,1,5,1,940,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,6,2743240,65.34653349,0,2713261,11,0,0,0,0,0
56,67,67,76,5,1,0,5,1,920,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,637723,32.84208281,0,68,1,0,0,0,0,0
57,68,68,77,3,1,0,5,1,875,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,3577898,29.64931283,0,44515,5,246,0,0,0,0
58,69,69,78,6,1,0,8,1,787,0,0,0,0,0,0,0,1,0,0,5,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,3,11,101403224,23.08323464,0,8829869,1039,245,0,36579,0,9484
59,70,70,81,5,0,1,3,1,622,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,8,12264262,27.11083617,0,7902,1,0,0,0,0,0
60,71,71,82,6,1,0,4,1,601,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,8,7715370,47.39910025,0,3460826,89,30761,0,0,0,0
61,72,72,83,6,0,1,9,1,564,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,9,14807747,36.16539717,0,6191245,644,0,0,0,0,849
62,73,73,84,3,1,0,4,1,563,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,3,3481612,24.59810689,0,118470,39,0,0,0,0,0
63,75,75,86,5,0,1,6,1,366,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,7,3319,31.26996309,0,134,1,134,0,0,0,0
64,76,76,87,1,0,1,5,1,99,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,8,25040,41.7832,0,4325717,49,475726,3322,94,0,0
65,77,77,88,5,0,1,5,1,1530,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2468681,144.0465,0,55878,26,18875,0,0,0,332
66,78,78,89,6,1,0,2,1,1114,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,8,5738398,39.94991448,0,271091,4,0,0,0,0,0
67,79,79,90,6,0,1,3,1,1054,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,6517244,67.76077463,0,1048833,141,1290,0,0,0,19103
68,80,80,91,6,1,0,5,1,938,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,10,9091347,32.421401,0,15263669,229,189,0,3296,54875,352
69,81,81,92,6,0,1,5,1,898,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2149619,39.89677173,0,4887118,122,22561,0,0,0,30
70,82,82,93,6,1,0,3,1,839,0,0,0,1,0,0,0,0,0,0,5,3,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,4,9,121621542,30.56177641,0,13754524,415,17233,0,0,0,216386
71,83,83,94,5,1,0,5,1,745,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,3014850,49.152836,0,73302,5,43055,0,0,0,0
72,84,84,95,6,1,0,3,1,726,0,0,0,1,0,0,0,0,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,8,45205020,28.66386804,0,314395,46,1429,0,0,0,0
73,85,85,96,3,1,0,5,1,717,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,107805,19.86552819,0,134850,9,113,0,0,0,0
74,87,87,98,3,1,0,5,1,583,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,6,2036875,27.50505729,0,3314,1,0,0,0,0,0
75,88,88,99,6,0,1,2,1,571,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,8,8749081,28.05240727,0,3759187,143,65051,0,0,59780,24
76,89,89,100,6,1,0,3,1,514,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,4,568317,39.32484692,0,1601916,15,0,0,0,0,43392
77,90,90,101,6,1,0,5,1,512,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,71154,74.7389,0,1241357,43,143,11638,0,0,44
78,91,91,103,5,1,0,2,1,394,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,8,1536176,39.47092719,0,354505,40,0,0,0,0,0
79,92,92,104,6,1,0,7,1,346,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,2696940,50.39823876,0,2174749,134,0,0,0,0,66
80,93,93,106,6,0,1,3,1,5058,0,0,1,0,0,0,0,0,0,0,3,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,2,15963450,66.07545499,0,994,1,0,0,0,0,0
81,94,94,107,6,1,0,5,1,5880,0,0,0,0,1,0,0,0,0,0,3,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,7,9596259,49.26181951,0,117110,28,0,0,0,0,0
82,95,95,108,6,0,1,4,1,916,0,0,1,0,0,0,0,0,0,0,5,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,10,76489578,32.30958006,68144000,178976045,7728,379829,1865261,8311,0,283900
83,96,96,109,6,1,0,4,1,925,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,7,9289316,46.87805811,0,3626495,217,228,0,0,0,55339
84,97,97,110,6,0,1,7,1,846,0,0,0,0,1,0,0,0,0,0,4,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,9,61518836,107.3124313,46694875,36000732,661,6801211,0,0,0,0
85,99,99,112,6,1,0,4,1,752,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,8,1358733,79.09600232,0,108904,5,0,0,0,0,60
86,100,100,113,5,0,1,2,1,672,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,2356114,34.92154687,0,530960,46,481330,0,0,0,0
87,101,101,114,3,1,0,2,1,604,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,6,2266880,33.10325758,0,36422,5,0,0,0,0,0
88,102,102,115,5,0,1,8,1,602,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2138261,74.7389,0,28602,3,0,0,0,0,0
89,103,103,116,4,0,1,8,1,579,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,2231222,33.39391989,0,23038,2,0,0,0,0,0
90,104,104,117,5,1,0,2,1,560,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,1677854,32.0118477,0,165643,7,0,0,0,0,0
91,106,106,123,5,1,0,6,1,8224,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,2,13815560,77.1438,0,6268081,46,376461,0,0,0,0
92,108,108,125,3,0,1,7,1,1604,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,3,2,55509985,43.26552836,0,112848,14,0,0,0,0,0
93,109,109,126,6,1,0,2,1,1505,0,1,0,0,0,0,0,0,0,0,3,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,16176310,56.22655745,0,1340352,42,108,0,0,0,0
94,110,110,127,6,1,0,6,1,920,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,11,124104193,27.79923336,0,5911581,603,123,0,0,0,49
95,111,111,128,6,0,1,5,1,798,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,2,10882648,59.35053907,0,5730667,525,3529,0,0,0,23232
96,112,112,129,4,1,0,3,1,749,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,6429383,35.88664386,0,56478,12,45657,0,0,0,25614
97,113,113,131,6,0,1,4,1,610,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,9047667,26.75418297,0,31529,7,31529,0,0,0,0
98,114,114,132,6,0,1,4,1,606,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,9,24632151,31.21776402,0,44171696,2280,7613,46543,25244,0,186788
99,115,115,133,6,0,1,5,1,597,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,10327466,68.7969,0,1771105,19,1502164,0,0,0,0
100,116,116,134,6,1,0,5,1,596,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,9,40783241,49.37627677,0,2036254,26,2703,0,0,0,634
101,117,117,135,4,1,0,2,1,559,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,188106,37.0904,0,6136,3,0,0,0,0,0
