,Unnamed: 0,act_no,mts_mm_access_type,tot_aet_tld_rnd_202201,tot_aet_tld_rnd_202202,tot_aet_tld_rnd_202203,tot_aet_tld_rnd_202204,tot_aet_tld_rnd_202205,tot_aet_tld_rnd_202206
26,26,5422,110110,990127.0,1037507.0,1093617.0,1125331.0,1104956.0,935376
27,27,5423,111111,4149357.0,4481057.0,5180803.0,5291672.0,13682460.0,10738803
28,28,5424,111110,3259148.0,3177350.0,3168650.0,3158975.0,3194618.0,2883868
29,29,5425,111100,2730200.0,2803200.0,2839700.0,2230150.0,2259350.0,1795800
30,30,5426,100001,24858.0,25458.0,28548.0,27981.0,27741.0,23061
31,31,5427,101001,2954646.0,3038392.0,3540303.0,3589825.0,3638825.0,3679258
32,32,5428,111111,12161407.0,12924824.0,14164366.0,9132375.0,8684714.0,8499600
33,33,5429,111111,9440401.0,9485401.0,9274401.0,7628077.0,7626297.0,6500297
34,34,5430,1,0.0,0.0,0.0,0.0,0.0,4912347
35,35,5431,101,6586.0,6678.0,6885.0,7989.0,7138.0,5942
36,36,5432,10,0.0,148020.0,143020.0,138628.0,207350.0,288400
37,37,5433,11,,,,,0.0,333908
38,38,5453,111111,20010011.0,25905286.0,25953923.0,24566772.0,25284946.0,21256259
39,39,5454,11,1414718.0,0.0,0.0,35.0,35.0,0
40,40,5455,11,666016.0,696376.0,763366.0,729223.0,763913.0,2549
41,41,5456,111111,5678083.0,3766962.0,4046812.0,5955599.0,5348999.0,3725339
42,42,5457,111111,5072718.0,5367033.0,5425530.0,4953406.0,4594005.0,999593
43,43,5458,111111,34072817.0,32095397.0,24724833.0,30176028.0,29291929.0,27912300
44,44,5459,111111,53567590.0,55472174.0,58912004.0,59254315.0,57263154.0,56927605
45,45,5460,111111,526000.0,476805.0,488207.0,462750.0,451600.0,412650
46,46,5461,111111,64637119.0,38328792.0,31340217.0,20600371.0,39610353.0,23189682
47,47,5462,100000,83752.0,79862.0,85217.0,77862.0,80622.0,69742
48,48,5463,111111,18389395.0,19122930.0,19173357.0,18522699.0,17933929.0,15155700
49,49,5464,101,2030512.0,2055469.0,2036502.0,1449240.0,1508159.0,1438005
50,50,5465,111111,4205.0,774977.0,1276257.0,1645965.0,1948492.0,1791032
51,51,5466,111111,5239110.0,5419160.0,5553538.0,5602873.0,5416787.0,4993537
52,52,5467,111111,5160340.0,4932930.0,7688700.0,4699134.0,3590807.0,2917326
53,53,5468,111111,1165726.0,1219751.0,1232801.0,1312482.0,1146027.0,905692
54,54,5469,10000,121205.0,124014.0,125214.0,117580.0,121980.0,110830
55,55,5470,100000,98023.0,96944.0,99872.0,97030.0,97399.0,87420
56,56,5471,1,,,,,,1147590
57,57,5377,111111,10011139.0,20103470.0,19762731.0,19464943.0,19649941.0,25831831
58,58,5378,111111,48138961.0,48762292.0,49669251.0,47261668.0,47373912.0,41413375
59,59,5379,111011,147179.0,104328.0,122731.0,123634.0,124534.0,341968
60,60,5380,111111,19281811.0,19137296.0,14950356.0,13749572.0,13380532.0,11864866
61,61,5381,11100,5691576.0,6101576.0,6711076.0,5715728.0,5389728.0,4417228
62,62,5382,111111,1926452.0,1691828.0,2070989.0,2583582.0,2350706.0,2065580
63,63,5383,111111,3554462.0,3538309.0,4133009.0,3894630.0,3719802.0,3024202
64,64,5384,110100,2762284.0,2770138.0,3250300.0,2762823.0,2552910.0,2306600
65,65,5385,111111,1021834.0,992291.0,1148892.0,1143069.0,1125171.0,1012234
66,66,5386,111111,1205267.0,1408026.0,1513284.0,1246246.0,1196850.0,1009326
67,67,5387,100000,507147.0,511311.0,401107.0,290460.0,198977.0,184636
68,68,5388,111101,354260.0,373760.0,381560.0,383510.0,380910.0,333460
69,69,5389,111111,45617276.0,42809322.0,46553373.0,47789443.0,44981569.0,0
70,70,5390,111110,193417.0,162697.0,322777.0,322057.0,270517.0,205417
71,71,5391,111100,7075813.0,7313107.0,8579540.0,7396383.0,7191613.0,5736039
72,72,5392,111111,943864.0,922964.0,987754.0,1036151.0,1005868.0,900345
73,73,5393,110000,0.0,5000.0,5000.0,5000.0,5000.0,5000
74,74,5394,111111,5892.0,6639.0,7216.0,6120.0,6056.0,5792
75,75,5395,100100,1501132.0,1507625.0,1651318.0,1479825.0,1550786.0,1310305
76,76,0,111111,1996586.0,2119266.0,2261986.0,1707630.0,1626697.0,1381982
77,77,1,111111,2750000.0,2794000.0,2860000.0,2891504.0,2724804.0,2821819
78,78,2,110000,103912.0,124311.0,27100.0,31951.0,28151.0,24151
79,79,3,1111,107800473.0,107800473.0,107800473.0,108231632.0,93926742.0,110959492
80,80,4,111100,0.0,15000.0,15000.0,15000.0,20000.0,20000
81,81,5,100,24944299.0,25579579.0,31508859.0,29655966.0,25235476.0,20126766
82,82,6,111111,340560.0,340560.0,340560.0,358599.0,340560.0,341154
83,83,7,111001,138603.0,85243.0,150964.0,152944.0,145894.0,319094
84,84,8,111111,52134685.0,50250804.0,53883552.0,47355041.0,46360172.0,37000685
85,85,9,111111,1663000.0,1675000.0,1717500.0,1538643.0,1546753.0,1302353
86,86,10,111101,13449388.0,13535186.0,13668189.0,12972066.0,13288609.0,11865388
87,87,11,111111,93494425.0,100367661.0,105166958.0,102489465.0,99040679.0,83112764
88,88,12,111111,20929286.0,20779955.0,20954605.0,21613902.0,19458030.0,14596887
89,89,13,111111,3166012.0,2674762.0,1745762.0,1696872.0,1749982.0,1458982
90,90,14,111,165000.0,172800.0,300500.0,308120.0,311120.0,263620
91,91,15,10011,9475.0,60088.0,81386.0,32334.0,31158.0,26386
92,92,16,111110,10330052.0,13265837.0,13387090.0,11427967.0,11153517.0,9462406
93,93,17,1111,,,0.0,0.0,0.0,400
94,94,18,111111,0.0,4059000.0,0.0,179.0,179.0,0
95,95,19,111111,23871505.0,23364255.0,25590555.0,29120750.0,27092344.0,27204284
96,96,20,10,0.0,0.0,0.0,0.0,0.0,0
97,97,21,100111,680057.0,684107.0,697857.0,751704.0,691129.0,590079
98,98,22,111111,10809169.0,10938769.0,3002666.0,3254934.0,3174734.0,3040934
99,99,23,111111,116768596.0,113834134.0,115890004.0,118014909.0,119950886.0,104533997
100,100,24,100,4408611.0,4445626.0,4465101.0,4373254.0,4384406.0,4292291
101,101,25,111111,1825572.0,1391675.0,1169523.0,1050090.0,1053530.0,1458198
102,102,26,111111,0.0,0.0,0.0,328638.0,82.0,82
103,103,27,111011,1062634.0,1020584.0,1232634.0,948440.0,2066346.0,2168811
104,104,28,110000,4494276.0,4592544.0,3833059.0,2504824.0,2906407.0,2152918
105,105,29,111111,46285244.0,36782403.0,36971063.0,34243190.0,33924018.0,30251608
106,106,30,1000,2784586.0,2886786.0,3007886.0,2736490.0,2674311.0,2244511
107,107,31,100010,460908.0,471844.0,473286.0,451604.0,464955.0,417497
108,108,32,10001,236044.0,252990.0,291046.0,306006.0,286686.0,278880
109,109,33,111111,719053.0,789253.0,774403.0,786650.0,793400.0,771800
110,110,34,100,4183.0,4196.0,4112.0,3411.0,3120.0,2689
111,111,35,111111,4038312.0,4369312.0,4464812.0,3885862.0,4307362.0,3876362
112,112,36,1100,,,503450.0,461500.0,453144.0,381344
113,113,5472,1,,,,,,0
114,114,5473,110001,88000.0,124988.0,124988.0,10000.0,10000.0,10000
115,115,5474,111111,166681605.0,192445688.0,106588980.0,124237856.0,101364186.0,0
116,116,5475,111111,25742266.0,22030125.0,21881883.0,27044744.0,29071365.0,27179263
117,117,5476,111111,36379269.0,37680219.0,41092359.0,36220733.0,36583800.0,30783150
118,118,5477,111111,129570738.0,126605017.0,137300231.0,138230957.0,133499010.0,103298083
119,119,5478,111111,5706986.0,8198389.0,8886255.0,8148461.0,7944435.0,7082906
120,120,5479,111110,19642418.0,19773119.0,19762541.0,16093788.0,16525475.0,13920504
121,121,5480,110010,2548752.0,2516252.0,2466552.0,2419976.0,2422521.0,2138721
122,122,5481,111111,2017306.0,1934076.0,2847753.0,3099339.0,2881639.0,2672536
123,123,5482,111111,8163286.0,8588155.0,10546456.0,11044796.0,10840179.0,11236775
124,124,5483,111111,9755463.0,6436197.0,6599557.0,7122977.0,7221169.0,5853719
125,125,5484,1111,89.0,89.0,997431.0,9058584.0,10844264.0,15586401
126,126,5485,110010,1912861.0,1615061.0,1517561.0,1400260.0,1437760.0,1235260
127,127,5486,100000,5892.0,21189.0,24716.0,28306.0,24042.0,19679
128,128,5487,10000,,0.0,15000.0,15000.0,15000.0,15000
129,129,5488,111111,7459593.0,7639414.0,8017149.0,7741428.0,7783798.0,7005116
130,130,71,111111,16668908.0,2878840.0,2773840.0,3187799.0,13322610.0,11583803
131,131,72,101101,4146619.0,4609127.0,4642403.0,4450314.0,4254435.0,3878881
132,132,73,111111,10133624.0,11272301.0,11267351.0,13233013.0,12145730.0,11027277
133,133,74,111111,27299693.0,28251233.0,13132145.0,12280501.0,12320344.0,11291458
134,134,75,111111,2635875.0,2558720.0,2743240.0,2484864.0,2528206.0,1917306
135,135,76,111110,618860.0,618702.0,637723.0,595208.0,579666.0,461951
136,136,77,100101,3577898.0,3537958.0,3452918.0,3371855.0,3247067.0,2690811
137,137,78,111111,96776310.0,98487025.0,101403224.0,91206542.0,96997967.0,93526035
138,138,79,111,162432.0,140535.0,213948.0,136029.0,166875.0,167198
139,139,80,100000,15000.0,15000.0,15000.0,15000.0,15000.0,15000
140,140,81,111101,9254469.0,10208982.0,11613998.0,12264262.0,12061258.0,10218361
141,141,82,111111,7212240.0,7398130.0,7715370.0,5708404.0,5576268.0,4649018
142,142,83,111111,10570409.0,12110009.0,13126607.0,14291973.0,14807747.0,13221548
143,143,84,111000,3481612.0,3268812.0,3431812.0,3326120.0,3351130.0,2761820
144,144,85,1010,9491.0,8098.0,9206.0,7277.0,8201.0,7179
145,145,86,111011,3319.0,3175.0,3136.0,2032.0,1484.0,1527
146,146,87,1,,,,,,25040
147,147,5523,111111,92900104.0,95072196.0,103335812.0,98488002.0,106382680.0,97123693
148,148,5524,111111,23221376.0,27804087.0,41386645.0,27338133.0,26836538.0,25973535
149,149,5525,111110,2229233.0,2125984.0,1923900.0,1904139.0,1871276.0,1660276
150,150,5526,111111,957780.0,927907.0,942511.0,956341.0,1035720.0,1927807
151,151,5527,111111,17905013.0,20891480.0,22119064.0,18534736.0,17809247.0,20269928
152,152,5528,111111,349425.0,349785.0,378180.0,349605.0,350505.0,294525
153,153,5529,101111,11407640.0,11177563.0,11007919.0,11818933.0,11728969.0,10023955
154,154,5530,111111,8197521.0,8253496.0,8101617.0,8541669.0,12178919.0,9745931
155,155,5531,111111,8247372.0,8702335.0,11545060.0,13032840.0,12588870.0,9671360
156,156,5532,111111,1341975.0,5263299.0,6234375.0,6851358.0,5782710.0,4438460
157,157,5533,11001,586400.0,576800.0,556800.0,542088.0,544976.0,456567
158,158,5534,111111,4723520.0,4868740.0,4427732.0,4354048.0,4650895.0,4664730
159,159,5535,100100,6481.0,6916.0,7071.0,6093.0,4385.0,2625
160,160,5536,110000,113001.0,142932.0,142932.0,143001.0,143001.0,143001
161,161,5537,111111,10007870.0,9862670.0,9560170.0,9331662.0,9368623.0,35113003
162,162,5538,11111,,9800.0,9800.0,9861.0,261261.0,228681
163,163,5539,1111,,,2053611.0,2874642.0,2827587.0,2836852
164,164,37,111111,9363432.0,9174884.0,9058859.0,9067202.0,9004270.0,7861764
165,165,38,111111,45703900.0,46772360.0,57259410.0,56694618.0,55651058.0,50857288
166,166,39,101111,1934835.0,1877208.0,1834087.0,1588377.0,1579810.0,1358536
167,167,40,11,24707327.0,25679767.0,24855060.0,23009954.0,22699059.0,20938819
168,168,41,111111,14721080.0,15746269.0,19708998.0,23305103.0,23198344.0,20038694
169,169,42,100,1576851.0,1551679.0,1499208.0,1809589.0,1816342.0,1598304
170,170,43,111111,22613742.0,23294582.0,24126082.0,24457869.0,23311897.0,22627647
171,171,44,11100,141500.0,175150.0,196650.0,207300.0,175700.0,174700
172,172,45,111111,1206401.0,1232160.0,1206300.0,1269592.0,1214215.0,1183800
173,173,46,111111,303245.0,309845.0,337445.0,320982.0,313482.0,301782
174,174,47,111111,94200.0,114000.0,131550.0,135905.0,346835.0,343800
175,175,48,111111,1009816.0,95889711.0,1014730.0,1060043.0,1049493.0,1210269
176,176,49,111100,28669524.0,3861.0,4238.0,2871.0,2583.0,2341
177,177,50,111111,5890752.0,6060797.0,6058671.0,6045246.0,7222908.0,6464099
178,178,51,111111,35280.0,35787.0,39750.0,35424.0,35267.0,32412
179,179,52,100111,714787.0,707811.0,679838.0,653989.0,664632.0,569182
180,180,53,11101,,0.0,15000.0,15000.0,15000.0,50250
181,181,5540,111110,1212307.0,1212307.0,1212307.0,1212308.0,1212308.0,1212308
182,182,5541,111111,707955.0,371231.0,225476.0,1404352.0,843644.0,525112
183,183,5542,101111,5.0,5.0,2039480.0,2363571.0,2341550.0,1987200
184,184,5543,111111,27532756.0,27862848.0,48780828.0,42305974.0,41600865.0,37840060
185,185,5544,111111,7131548.0,7228188.0,7395183.0,7430930.0,7522391.0,6287196
186,186,5545,111111,7258500.0,6900600.0,6787900.0,7077804.0,8899301.0,8050200
187,187,5546,111111,6086523.0,6020496.0,5690686.0,5890058.0,5754944.0,4965352
188,188,5547,111110,1089173.0,1124731.0,1047291.0,959353.0,951226.0,730204
189,189,5548,111111,5347264.0,5435770.0,5707339.0,5883801.0,6155320.0,5590364
190,190,5549,111111,394400.0,418200.0,455600.0,509613.0,504524.0,438236
191,191,5550,111111,20234073.0,20591681.0,26314472.0,25980980.0,29316781.0,27421056
192,192,5551,110111,387864.0,386864.0,371364.0,546412.0,660817.0,582517
193,193,5552,11000,1.0,1.0,31740.0,31747.0,31747.0,31747
194,194,5553,100000,406375.0,487332.0,492490.0,452761.0,453685.0,336563
195,195,5554,111111,317105.0,305305.0,307705.0,289963.0,298763.0,276463
196,196,5555,111101,29639.0,43499.0,55134.0,70803.0,71188.0,73896
197,197,5556,110111,1407661.0,1369945.0,1322445.0,1287507.0,1294366.0,1124976
198,198,5574,1,499096.0,516596.0,503096.0,491732.0,478132.0,399232
199,199,5575,111111,6722639.0,13835808.0,15407062.0,14948588.0,15016179.0,12717905
200,200,5576,111100,2083300.0,107400.0,106200.0,120900.0,120600.0,96600
201,201,5577,111111,42028692.0,43895274.0,45290818.0,43690713.0,42853177.0,42738574
202,202,5578,111111,25060243.0,25250236.0,20847784.0,20940096.0,20958852.0,19876685
203,203,5579,111111,4403797.0,4836605.0,5233816.0,3638692.0,3259638.0,2727717
204,204,5580,111101,11478928.0,11299049.0,10927294.0,10633689.0,10670091.0,9129018
205,205,5581,111010,1586236.0,1644916.0,1596289.0,1522312.0,1543049.0,1324379
206,206,5582,111010,2402994.0,2675149.0,2676556.0,2675114.0,2681131.0,2366714
207,207,5583,111111,570861.0,561001.0,600431.0,541511.0,636512.0,512273
208,208,5584,111110,3886036.0,3138074.0,3337256.0,3228365.0,3186098.0,2844867
209,209,5585,111111,4094725.0,4105575.0,4089033.0,3993180.0,3960065.0,3361093
210,210,5586,111111,3132154.0,2489080.0,2397450.0,4256884.0,4391347.0,3773147
211,211,5587,111,5000.0,5000.0,5000.0,5000.0,5000.0,5000
212,212,5588,111111,6502225.0,7608319.0,7732912.0,6934655.0,7370301.0,0
213,213,5589,111111,1155587.0,175390.0,998321.0,813013.0,844763.0,699163
214,214,5590,111111,224862.0,221664.0,213989.0,213485.0,317132.0,264216
215,215,121,111111,11952103.0,10410605.0,11176086.0,11464635.0,11381694.0,11161329
216,216,122,111000,1012433.0,1019483.0,1021983.0,986410.0,933910.0,816160
217,217,123,111110,12529211.0,13815560.0,13163439.0,11746321.0,11215447.0,11934365
218,218,124,100000,28265770.0,29397770.0,30010270.0,30428437.0,28428232.0,28408232
219,219,125,100101,37528933.0,44771055.0,41421181.0,55509985.0,46403168.0,38107635
220,220,126,111111,16176310.0,10415000.0,16099456.0,14930451.0,15428389.0,12904329
221,221,127,111111,55430285.0,84882190.0,91563713.0,95922071.0,119625448.0,124104193
222,222,128,111111,10260698.0,10843348.0,10882648.0,10674397.0,10440496.0,8746948
223,223,129,111100,5392927.0,5813721.0,6429383.0,5014717.0,5003339.0,4353462
224,224,130,101000,234107.0,238423.0,270033.0,181118.0,184498.0,144171
225,225,131,111111,8205521.0,8509512.0,9047667.0,8102323.0,7900092.0,6822368
226,226,132,111111,23339429.0,23312526.0,24632151.0,23660958.0,23262963.0,21011438
227,227,133,111111,9686860.0,10327466.0,9062248.0,5872574.0,6027502.0,5319282
228,228,134,111111,30646917.0,37554874.0,40783241.0,35093900.0,28553000.0,30881200
229,229,135,111010,185931.0,188106.0,108656.0,20569.0,20094.0,15144
230,230,136,111,,,,5000302.0,12359434.0,10858104
231,231,5655,111111,3896352.0,4650272.0,5011497.0,5602639.0,5502139.0,4509319
232,232,5656,111111,24012503.0,27093527.0,28709829.0,30222363.0,29165515.0,22936517
233,233,5657,111111,71690989.0,70738821.0,76125227.0,78370955.0,75608350.0,70531914
234,234,5658,110000,10097.0,10767.0,12797.0,10052.0,10132.0,6342
235,235,5659,111111,13642969.0,14202986.0,15129002.0,16234557.0,44696388.0,40832531
236,236,5660,111111,4172.0,506430.0,2080439.0,3124118.0,1184290.0,105633
237,237,5661,111111,12501230.0,12883235.0,13860675.0,13787963.0,13969810.0,12227540
238,238,5662,111111,9891790.0,10054390.0,9579790.0,9385884.0,12737606.0,9636306
239,239,5663,111111,101960339.0,76668445.0,12617084.0,7895620.0,19881549.0,14597579
240,240,5664,111111,11935138.0,10917831.0,12857743.0,0.0,60194048.0,51392733
241,241,5665,111111,1481107.0,2295380.0,2398807.0,1918755.0,1836715.0,1758723
242,242,5666,100000,46047.0,45825.0,46565.0,48294.0,48521.0,46772
243,243,5667,111111,80526.0,79326.0,76826.0,74992.0,75353.0,64953
244,244,5668,111111,2129705.0,2128258.0,2242025.0,2102982.0,2289649.0,2293889
245,245,5669,11111,,22992992.0,21570942.0,19857460.0,20445550.0,17587043
246,246,5670,1111,,,1950524.0,1901077.0,2168377.0,1650277
247,247,5607,111001,88000.0,88118.0,101418.0,107163.0,102963.0,293397
248,248,5608,11111,43804435.0,43634940.0,46991247.0,49127688.0,48131819.0,42138950
249,249,5609,100000,1189738.0,1308094.0,1469359.0,1254312.0,1190689.0,994473
250,250,5610,111111,8046096.0,7925376.0,9473556.0,10451996.0,10065046.0,8035726
251,251,5611,111111,15193095.0,15220294.0,15192460.0,15386480.0,16930287.0,13627080
252,252,5612,111010,912900.0,913600.0,890300.0,850298.0,865030.0,742880
253,253,5613,111111,9166643.0,7895089.0,5377841.0,4928750.0,4788473.0,4959463
254,254,5614,111110,6722753.0,6833953.0,7074653.0,6455741.0,6847657.0,6125178
255,255,5615,10100,15324568.0,16539837.0,15967368.0,15527036.0,15597060.0,13205190
256,256,5616,111111,7405296.0,8325586.0,8492303.0,8386132.0,8333932.0,7103612
257,257,5617,100,681433.0,668929.0,668955.0,570174.0,587943.0,547823
258,258,5618,111111,56895180.0,59873428.0,65951144.0,59532067.0,60871813.0,46948432
259,259,5619,111111,213612.0,255447.0,257232.0,263088.0,149800.0,152800
260,260,5620,111111,6931662.0,6551662.0,5763662.0,5487193.0,5386393.0,4187453
261,261,5621,111111,2340464.0,41675802.0,1221607.0,1138976.0,1072554.0,809439
262,262,5622,1111,,,72748878.0,63842166.0,71591474.0,60762253
263,263,137,111111,167845113.0,168719528.0,174927287.0,178669931.0,170768151.0,157761319
264,264,138,111111,97151307.0,112816692.0,122306352.0,109483754.0,100779046.0,79223256
265,265,139,111111,46145231.0,46240021.0,51144551.0,50025363.0,47763973.0,40962973
266,266,140,111111,36748508.0,38602308.0,38997958.0,35925067.0,57973199.0,47529469
267,267,141,101010,173438374.0,175101174.0,168860274.0,159528375.0,184287296.0,169354396
268,268,142,101100,4494013.0,4522326.0,4640816.0,4457740.0,4187418.0,3646004
269,269,143,111111,15315134.0,24048812.0,22936542.0,34681468.0,23083835.0,1046352
270,270,144,111111,2389737.0,2385937.0,2379027.0,2337452.0,2327941.0,2122912
271,271,145,111111,2032464.0,1967429.0,2126793.0,1973868.0,1840869.0,1758569
272,272,146,111111,28615685.0,29963699.0,36124942.0,21599807.0,20726156.0,14993522
273,273,147,111111,666657.0,881067.0,926067.0,821676.0,803676.0,607476
274,274,148,110,1546788.0,1525825.0,1559732.0,1444904.0,1439710.0,1445632
275,275,149,111111,648667.0,680667.0,722667.0,643669.0,784669.0,761669
276,276,150,101000,5000.0,5000.0,5000.0,5000.0,5000.0,5000
277,277,151,111101,24785.0,2526.0,3269.0,2076.0,2187.0,1856
278,278,152,101,,,,0.0,0.0,207836
279,279,5623,111111,117457717.0,123494317.0,127125117.0,125060974.0,125122064.0,104580034
280,280,5624,110,1108026.0,1190034.0,1112042.0,1018050.0,1048060.0,886071
281,281,5625,111111,143510410.0,149666531.0,155215363.0,158389725.0,169106789.0,156906193
282,282,5626,110010,1953991.0,1933620.0,2049114.0,1847046.0,1745216.0,1437846
283,283,5627,111111,954429.0,1073222.0,1266174.0,1304210.0,1424442.0,1417559
284,284,5628,111111,262446681.0,294130548.0,281866275.0,301362801.0,287544611.0,217422736
285,285,5629,11111,3924960.0,3922400.0,3999820.0,3635688.0,3705488.0,3231688
286,286,5630,100101,360500.0,402500.0,370300.0,386080.0,451780.0,367830
287,287,5631,111110,7648720.0,8008074.0,8872741.0,8382104.0,7941121.0,6242695
288,288,5632,111111,9171324.0,9662424.0,10060124.0,9262428.0,9039058.0,8204238
289,289,5633,111111,1167800.0,1264400.0,1191900.0,1088800.0,1110600.0,929100
290,290,5634,111011,150948.0,137998.0,159050.0,163469.0,165619.0,264821
291,291,5635,111000,69800.0,98950.0,119563.0,123594.0,119394.0,115294
292,292,5636,111111,100405.0,100518.0,100636.0,99576.0,309808.0,274392
293,293,5637,110111,2753.0,17641.0,20999.0,23682.0,18892.0,220281
294,294,5638,110000,3319.0,3175.0,3136.0,2031.0,1483.0,1526
295,295,169,111111,25935776.0,42399266.0,42687079.0,55652880.0,68047428.0,57985682
296,296,170,111011,4893500.0,38080887.0,5076664.0,5076418.0,5999241.0,4795000
297,297,171,111111,99261130.0,95820875.0,96306700.0,101160770.0,97826795.0,95020338
298,298,172,101,5005000.0,5005001.0,5005001.0,5005001.0,5005001.0,5005001
299,299,173,10000,2462914.0,2417723.0,2345009.0,2291072.0,2299501.0,1994086
300,300,174,10100,197036.0,203336.0,210686.0,203709.0,168359.0,141409
301,301,175,111111,9207181.0,15769.0,15769.0,79982.0,79982.0,5158901
302,302,176,111111,7343683.0,8354363.0,9030569.0,8697864.0,23839625.0,22592275
303,303,177,111111,3768602.0,3552287.0,4105993.0,6405846.0,6255255.0,5897976
304,304,178,111111,6752389.0,6676099.0,6647906.0,6569785.0,6782111.0,5962866
305,305,179,111111,110848.0,111368.0,97848.0,82769.0,94729.0,76269
306,306,180,111111,15441417.0,13225123.0,14585305.0,14827683.0,15074806.0,14445866
307,307,181,110000,280000.0,269500.0,283500.0,262500.0,261500.0,198600
308,308,182,111111,5031792.0,6075704.0,6541172.0,19068639.0,17454578.0,15502348
309,309,183,111111,587908.0,552155.0,524732.0,397385.0,436321.0,297558
310,310,184,110000,24550.0,19700.0,26050.0,22000.0,20550.0,14850
311,311,5671,10100,848500.0,848500.0,848500.0,848500.0,848500.0,848500
312,312,5672,111111,11100.0,7460.0,8560.0,7320.0,8180.0,9920
313,313,5673,110000,2835069.0,2795165.0,2975273.0,3126962.0,2937176.0,2807432
314,314,5674,111111,1209099.0,1677651.0,1763429.0,1864445.0,1951850.0,1623315
315,315,5675,1111,3978823.0,4302531.0,4306840.0,4205400.0,2010800.0,1103623
316,316,5676,111111,2577303.0,2619753.0,2595919.0,2691183.0,1959213.0,5553160
317,317,5677,111111,41244233.0,43537508.0,45255877.0,42187412.0,41985190.0,38723848
318,318,5678,111111,2082840.0,2120060.0,2085190.0,4089888.0,4064623.0,4596113
319,319,5679,111111,12545352.0,12297862.0,12530847.0,12427045.0,11418135.0,9936160
320,320,5680,111111,22851417.0,22721548.0,30018796.0,36222374.0,33987648.0,28166014
321,321,5681,111111,957362.0,1018951.0,960544.0,890140.0,912756.0,791380
322,322,5682,110000,2243925.0,2311325.0,2231325.0,2168597.0,2178379.0,1845579
323,323,5683,111111,19510693.0,20982383.0,22479975.0,20874683.0,21009293.0,18690274
324,324,5684,100001,16770.0,24020.0,22120.0,26970.0,23170.0,19170
325,325,5685,110101,13518.0,5000.0,5000.0,5004.0,5004.0,5004
326,326,5686,111111,2767317.0,2908406.0,2949268.0,2902453.0,2954755.0,2269255
327,327,5591,101000,6763285.0,6884754.0,7569297.0,7251811.0,6927856.0,6366956
328,328,5592,111111,2484989.0,2450421.0,3375557.0,11932469.0,13983118.0,11922029
329,329,5593,111111,188569081.0,195052376.0,205457680.0,209231076.0,105098912.0,132929773
330,330,5594,111111,217880.0,218660.0,235300.0,219180.0,216840.0,158860
331,331,5595,111111,106949840.0,112428604.0,119411940.0,107434746.0,108977750.0,89308362
332,332,5596,111111,2108528.0,2186912.0,2171679.0,2188121.0,2274054.0,1868470
333,333,5597,111111,8969716.0,11936955.0,17737974.0,15164087.0,21477648.0,19893118
334,334,5598,111111,11227354.0,7533549.0,6065684.0,5945577.0,8019550.0,7212339
335,335,5599,111111,13339252.0,13670406.0,14663661.0,16551845.0,15892157.0,13072507
