act_no,access_count,SEX_F,SEX_M,age_group,income_group,account_age,LIFESTAGE_1,LIFESTAGE_2,LIFESTAGE_3,LIFESTAGE_4,LIFESTAGE_5,LIFESTAGE_6,LIFESTAGE_7,LIFESTAGE_8,LIFESTAGE_9,LIFESTAGE_10,nh_level,invest_exp_group,HOLDINGS_TYPE_1.0,HOLDINGS_TYPE_2.0,HOLDINGS_TYPE_3.0,HOLDINGS_TYPE_4.0,loyalty,SECTOR_1.0,SECTOR_2.0,SECTOR_3.0,SECTOR_4.0,SECTOR_5.0,SECTOR_6.0,SECTOR_7.0,SECTOR_8.0,SECTOR_9.0,SECTOR_10.0,SECTOR_11.0,SECTOR_12.0,SECTOR_13.0,SECTOR_14.0,SECTOR_15.0,SECTOR_16.0,kr_stock_yn,overseas_stock_yn,risk_tolerance,sophistication,stock_wealth_level,trading_frequency,peak_asset_value,value_weighted_volatility,leverage
48,6,0,1,5,1,501,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,3,7,95889711,4.871735504,0
49,4,0,1,6,1,455,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,9,28669524,85.71154784,0
50,6,1,0,1,1,439,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,9,7222908,26.59368216,0
52,4,0,1,2,1,388,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,714787,23.04815934,0
55,4,1,0,5,1,5159,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,1352669,25.57457944,0
57,4,0,1,5,1,3189,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,8,9388192,25.7709639,0
58,1,0,1,5,1,585,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2825800,42.5706,0
59,6,1,0,1,1,900,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,987866,23.73441855,0
60,4,0,1,1,1,787,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,4576418,49.5893,0
61,3,1,0,3,1,753,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,3,961061,111.1572,0
62,6,1,0,3,1,663,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,3011902,22.13047051,0
63,6,0,1,9,1,625,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,6335105,33.84265063,0
64,6,1,0,7,1,570,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,9,12113793,39.29648094,0
66,6,0,1,5,1,534,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,944245,29.5647405,0
68,6,1,0,7,1,346,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,8,114842,16.14417465,0
69,6,1,0,3,1,323,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,8,4097292,25.12388607,0
70,6,1,0,4,1,4994,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,6,16837093,54.67529228,0
71,6,0,1,9,1,12245,0,0,0,0,0,0,0,0,1,0,5,6,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,9,16668908,28.95281007,0
72,4,1,0,9,1,12076,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,4642403,39.85257218,0
73,6,0,1,8,1,9046,0,0,0,0,1,0,0,0,0,0,3,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,13233013,40.30018871,0
74,6,0,1,3,1,1474,0,0,1,0,0,0,0,0,0,0,3,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,6,28251233,27.974501,0
75,6,0,1,5,1,940,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,6,2743240,65.34653349,0
76,5,1,0,5,1,920,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,637723,32.84208281,0
77,3,1,0,5,1,875,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,3577898,29.64931283,0
78,6,1,0,8,1,787,0,0,0,0,0,0,0,1,0,0,5,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,3,11,101403224,23.08323464,0
81,5,0,1,3,1,622,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,8,12264262,27.11083617,0
82,6,1,0,4,1,601,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,8,7715370,47.39910025,0
83,6,0,1,9,1,564,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,9,14807747,36.16539717,0
84,3,1,0,4,1,563,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,3,3481612,24.59810689,0
85,2,1,0,4,1,505,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,9491,20.2528,0
86,5,0,1,6,1,366,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,7,3319,31.26996309,0
87,1,0,1,5,1,99,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,8,25040,41.7832,0
88,5,0,1,5,1,1530,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2468681,144.0465,0
89,6,1,0,2,1,1114,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,8,5738398,39.94991448,0
90,6,0,1,3,1,1054,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,6517244,67.76077463,0
91,6,1,0,5,1,938,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,10,9091347,32.421401,0
92,6,0,1,5,1,898,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2149619,39.89677173,0
93,6,1,0,3,1,839,0,0,0,1,0,0,0,0,0,0,5,3,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,4,9,121621542,30.56177641,0
94,5,1,0,5,1,745,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,3014850,49.152836,0
95,6,1,0,3,1,726,0,0,0,1,0,0,0,0,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,8,45205020,28.66386804,0
96,3,1,0,5,1,717,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,107805,19.86552819,0
97,6,1,0,3,1,589,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,3371268,42.6892,0
98,3,1,0,5,1,583,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,6,2036875,27.50505729,0
99,6,0,1,2,1,571,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,8,8749081,28.05240727,0
100,6,1,0,3,1,514,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,4,568317,39.32484692,0
101,6,1,0,5,1,512,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,71154,74.7389,0
103,5,1,0,2,1,394,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,8,1536176,39.47092719,0
104,6,1,0,7,1,346,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,2696940,50.39823876,0
106,6,0,1,3,1,5058,0,0,1,0,0,0,0,0,0,0,3,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,2,15963450,66.07545499,0
107,6,1,0,5,1,5880,0,0,0,0,1,0,0,0,0,0,3,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,7,9596259,49.26181951,0
108,6,0,1,4,1,916,0,0,1,0,0,0,0,0,0,0,5,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,10,76489578,32.30958006,68144000
109,6,1,0,4,1,925,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,7,9289316,46.87805811,0
110,6,0,1,7,1,846,0,0,0,0,1,0,0,0,0,0,4,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,9,61518836,107.3124313,46694875
111,4,1,0,8,1,823,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,230594,41.61840233,0
112,6,1,0,4,1,752,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,8,1358733,79.09600232,0
113,5,0,1,2,1,672,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,2356114,34.92154687,0
114,3,1,0,2,1,604,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,6,2266880,33.10325758,0
115,5,0,1,8,1,602,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,2138261,74.7389,0
116,4,0,1,8,1,579,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,2231222,33.39391989,0
117,5,1,0,2,1,560,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,1677854,32.0118477,0
122,3,1,0,8,1,5237,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,1021983,41.65921271,0
123,5,1,0,6,1,8224,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,2,13815560,77.1438,0
124,1,1,0,6,1,1715,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,3,2,30428437,43.20010677,0
125,3,0,1,7,1,1604,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,3,2,55509985,43.26552836,0
126,6,1,0,2,1,1505,0,1,0,0,0,0,0,0,0,0,3,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,8,16176310,56.22655745,0
127,6,1,0,6,1,920,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,11,124104193,27.79923336,0
128,6,0,1,5,1,798,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,2,10882648,59.35053907,0
129,4,1,0,3,1,749,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,6429383,35.88664386,0
131,6,0,1,4,1,610,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,9047667,26.75418297,0
132,6,0,1,4,1,606,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,9,24632151,31.21776402,0
133,6,0,1,5,1,597,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,10327466,68.7969,0
134,6,1,0,5,1,596,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,9,40783241,49.37627677,0
135,4,1,0,2,1,559,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,188106,37.0904,0
136,3,0,1,4,1,151,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,12359434,37.5329645,0
138,6,1,0,9,2,9411,0,0,0,0,0,0,0,0,1,0,5,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,8,122306352,60.37508611,106443740
139,6,0,1,9,1,6269,0,0,0,0,0,0,0,0,1,0,4,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,9,51144551,32.77601505,0
140,6,0,1,8,1,7925,0,0,0,0,1,0,0,0,0,0,4,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,8,57973199,32.7556509,0
141,3,0,1,7,1,7693,0,0,0,0,1,0,0,0,0,0,5,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,7,184287296,67.97465955,0
142,3,1,0,7,1,6259,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,4640816,26.48211266,0
143,6,0,1,5,1,1779,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,10,34681468,78.5933951,15715000
