,Unnamed: 0,act_no,orr_dt,orr_ord,orr_rtn_hur,lst_cns_hur,iem_cd,sby_dit_cd,cns_qty,orr_pr,orr_mdi_dit_cd,cur_cd,trd_cur_xcg_rt
22,22,acc_2980,20220118,17,0,0,US9273301005,1,100,5.16,3,USD,1192.3
23,23,acc_2980,20220118,15,0,0,US9273301005,1,75,5.16,3,USD,1192.3
24,24,acc_2980,20220118,32,1,1,US6412558073,2,345,6.6786,3,USD,1192.3
25,25,acc_2980,20220118,14,0,0,US9273301005,2,549,5.11,3,USD,1192.3
26,26,acc_2980,20220118,13,0,0,US6412558073,1,313,6.79,3,USD,1192.3
27,27,acc_2980,20220118,12,0,0,US6412558073,1,100,6.79,3,USD,1192.3
28,28,acc_2980,20220118,11,0,0,US6412558073,2,309,6.66,3,USD,1192.3
29,29,acc_2980,20220118,10,0,0,US6412558073,2,104,6.66,3,USD,1192.3
30,30,acc_2980,20220118,9,0,0,US10802T1051,1,6372,0.327,3,USD,1192.3
31,31,acc_2980,20220118,8,0,0,US10802T1051,1,500,0.326,3,USD,1192.3
32,32,acc_2980,20220118,7,0,0,US10802T1051,1,615,0.326,3,USD,1192.3
33,33,acc_2980,20220118,6,0,0,US10802T1051,1,800,0.326,3,USD,1192.3
34,34,acc_2980,20220118,5,0,0,US10802T1051,1,170,0.326,3,USD,1192.3
35,35,acc_2980,20220118,3,0,0,US10802T1051,2,500,0.32,3,USD,1192.3
36,36,acc_2980,20220118,2,0,0,US10802T1051,2,39,0.32,3,USD,1192.3
37,37,acc_2980,20220118,1,0,0,US10802T1051,2,6190,0.32,3,USD,1192.3
38,38,acc_2980,20220118,16,0,0,US9273301005,1,374,5.16,3,USD,1192.3
39,39,acc_2980,20220118,33,1,1,US6412558073,1,345,6.6012,3,USD,1192.3
40,40,acc_2980,20220118,19,0,0,US9273301005,1,528,5.1401,3,USD,1192.3
41,41,acc_2980,20220118,35,19,19,US46222L1089,2,103,12.58,3,USD,1192.3
42,42,acc_2980,20220118,65,23,23,US25400Q1058,1,35,76.28,3,USD,1192.3
43,43,acc_2980,20220118,34,1,1,US23816M1071,2,782,2.9091,3,USD,1192.3
44,44,acc_2980,20220118,63,23,23,US6412558073,1,221,6.95,3,USD,1192.3
45,45,acc_2980,20220118,62,23,23,US6412558073,1,75,6.95,3,USD,1192.3
46,46,acc_2980,20220118,61,23,23,US6412558073,1,25,6.95,3,USD,1192.3
47,47,acc_2980,20220118,60,23,23,US6412558073,1,70,6.95,3,USD,1192.3
48,48,acc_2980,20220118,59,23,23,US6412558073,2,50,5.95,3,USD,1192.3
49,49,acc_2980,20220118,58,23,23,US6412558073,2,50,5.95,3,USD,1192.3
50,50,acc_2980,20220118,57,23,23,US6412558073,2,5,5.95,3,USD,1192.3
51,51,acc_2980,20220118,56,23,23,US6412558073,2,50,5.95,3,USD,1192.3
52,52,acc_2980,20220118,55,23,23,US6412558073,2,50,5.95,3,USD,1192.3
53,53,acc_2980,20220118,54,23,23,US6412558073,2,31,5.95,3,USD,1192.3
54,54,acc_2980,20220118,53,23,23,US6412558073,2,5,5.95,3,USD,1192.3
55,55,acc_2980,20220118,52,23,23,US6412558073,2,50,5.95,3,USD,1192.3
56,56,acc_2980,20220118,51,23,23,US6412558073,2,100,5.95,3,USD,1192.3
57,57,acc_2980,20220118,64,23,23,US25400Q1058,2,35,76.36,3,USD,1192.3
58,58,acc_2980,20220118,49,22,22,US00507V1098,2,18,89.43,3,USD,1192.3
59,59,acc_2980,20220118,50,23,23,US00507V1098,1,26,87.99,3,USD,1192.3
60,60,acc_2980,20220118,37,21,21,US46222L1089,1,4,12.5,3,USD,1192.3
61,61,acc_2980,20220118,38,21,21,US46222L1089,1,4,12.5,3,USD,1192.3
62,62,acc_2980,20220118,39,21,21,US46222L1089,1,182,12.5,3,USD,1192.3
63,63,acc_2980,20220118,40,21,21,US86882C1053,2,14,1.01,3,USD,1192.3
64,64,acc_2980,20220118,41,21,21,US86882C1053,2,98,1.01,3,USD,1192.3
65,65,acc_2980,20220118,42,21,21,US86882C1053,2,1902,1.01,3,USD,1192.3
66,66,acc_2980,20220118,36,19,19,US46222L1089,2,87,12.59,3,USD,1192.3
67,67,acc_2980,20220118,44,21,21,US86882C1053,2,113,1.01,3,USD,1192.3
68,68,acc_2980,20220118,45,21,21,US86882C1053,2,36,1.01,3,USD,1192.3
69,69,acc_2980,20220118,46,21,21,US86882C1053,2,87,1.01,3,USD,1192.3
70,70,acc_2980,20220118,47,22,22,US86882C1053,1,2350,1.01,3,USD,1192.3
71,71,acc_2980,20220118,48,22,22,US00507V1098,2,8,89.48,3,USD,1192.3
72,72,acc_2980,20220118,43,21,21,US86882C1053,2,100,1.01,3,USD,1192.3
73,73,acc_2980,20220119,4,2,2,US83406F1021,2,58,14.21,3,USD,1188.9
74,74,acc_2980,20220119,3,2,2,US23816M1071,1,278,2.9909,3,USD,1188.9
75,75,acc_2980,20220119,9,23,23,US92859E1082,2,381,2.0801,3,USD,1188.9
76,76,acc_2980,20220119,1,0,0,US92859E1082,1,381,2.2707,3,USD,1188.9
77,77,acc_2980,20220119,2,0,0,US23816M1071,2,278,3.12,3,USD,1188.9
78,78,acc_2980,20220119,6,18,18,US23816M1071,1,100,3.05,3,USD,1188.9
79,79,acc_2980,20220119,7,18,18,US23816M1071,1,182,3.04,3,USD,1188.9
80,80,acc_2980,20220119,8,18,18,US83406F1021,2,167,14.2,3,USD,1188.9
81,81,acc_2980,20220119,5,18,18,US23816M1071,1,500,3.04,3,USD,1188.9
82,82,acc_2980,20220120,32,23,23,US25401N1019,1,130,1.67,3,USD,1191.8
83,83,acc_2980,20220120,33,23,23,US25401N1019,1,1,1.67,3,USD,1191.8
84,84,acc_2980,20220120,34,23,23,US25401N1019,1,100,1.67,3,USD,1191.8
85,85,acc_2980,20220120,35,23,23,US25401N1019,1,551,1.67,3,USD,1191.8
86,86,acc_2980,20220120,38,23,23,US25401N1019,1,200,1.67,3,USD,1191.8
87,87,acc_2980,20220120,36,23,23,US25401N1019,1,200,1.67,3,USD,1191.8
88,88,acc_2980,20220120,37,23,23,US25401N1019,1,10,1.67,3,USD,1191.8
89,89,acc_2980,20220120,39,23,23,US25401N1019,1,200,1.67,3,USD,1191.8
90,90,acc_2980,20220120,46,23,23,US5504241051,2,91,15.13,3,USD,1191.8
91,91,acc_2980,20220120,41,23,23,US25401N1019,1,20,1.67,3,USD,1191.8
92,92,acc_2980,20220120,42,23,23,US25401N1019,1,41,1.67,3,USD,1191.8
93,93,acc_2980,20220120,43,23,23,US25401N1019,1,88,1.67,3,USD,1191.8
94,94,acc_2980,20220120,44,23,23,US25401N1019,1,100,1.67,3,USD,1191.8
95,95,acc_2980,20220120,45,23,23,US25401N1019,1,200,1.67,3,USD,1191.8
96,96,acc_2980,20220120,47,23,23,US5504241051,2,100,15.13,3,USD,1191.8
97,97,acc_2980,20220120,48,23,23,US5504241051,2,25,15.13,3,USD,1191.8
98,98,acc_2980,20220120,13,3,3,US70614W1009,1,118,26.8,3,USD,1191.8
99,99,acc_2980,20220120,12,3,3,US70614W1009,2,86,26.4501,3,USD,1191.8
100,100,acc_2980,20220120,16,4,4,US00534A1025,2,463,6.8772,3,USD,1191.8
101,101,acc_2980,20220120,11,3,3,US09523Q2003,1,278,8.2106,3,USD,1191.8
102,102,acc_2980,20220120,10,3,3,US70614W1009,2,32,26.13,3,USD,1191.8
103,103,acc_2980,20220120,40,23,23,US25401N1019,1,10,1.67,3,USD,1191.8
104,104,acc_2980,20220120,9,3,3,US09523Q2003,1,30,8.24,3,USD,1191.8
105,105,acc_2980,20220120,15,4,4,US83406F1021,1,199,16.06,3,USD,1191.8
106,106,acc_2980,20220120,7,1,1,US09523Q2003,2,376,9.1358,3,USD,1191.8
107,107,acc_2980,20220120,6,1,1,US83406F1021,1,100,16.14,3,USD,1191.8
108,108,acc_2980,20220120,5,1,1,US83406F1021,1,62,16.14,3,USD,1191.8
109,109,acc_2980,20220120,14,3,3,US83406F1021,2,199,15.9,3,USD,1191.8
110,110,acc_2980,20220120,4,1,1,US83406F1021,1,53,16.14,3,USD,1191.8
111,111,acc_2980,20220120,3,0,0,US83406F1021,2,215,15.455,3,USD,1191.8
112,112,acc_2980,20220120,2,0,0,US5504241051,1,16,15.34,3,USD,1191.8
113,113,acc_2980,20220120,1,0,0,US5504241051,1,200,15.34,3,USD,1191.8
114,114,acc_2980,20220120,20,4,4,US00534A1025,1,100,6.735,3,USD,1191.8
115,115,acc_2980,20220120,21,4,4,US83406F1021,2,195,15.8982,3,USD,1191.8
116,116,acc_2980,20220120,22,4,4,US23786R2013,1,202,3.1617,3,USD,1191.8
117,117,acc_2980,20220120,23,4,4,US0675322004,2,62,10.5,3,USD,1191.8
118,118,acc_2980,20220120,24,23,23,US83406F1021,1,25,14.23,3,USD,1191.8
119,119,acc_2980,20220120,8,3,3,US09523Q2003,1,68,8.24,3,USD,1191.8
120,120,acc_2980,20220120,25,23,23,US83406F1021,1,100,14.23,3,USD,1191.8
121,121,acc_2980,20220120,19,4,4,US00534A1025,1,100,6.7301,3,USD,1191.8
122,122,acc_2980,20220120,27,23,23,US25401N1019,2,89,1.62,3,USD,1191.8
123,123,acc_2980,20220120,28,23,23,US25401N1019,2,100,1.62,3,USD,1191.8
124,124,acc_2980,20220120,29,23,23,US25401N1019,2,1763,1.62,3,USD,1191.8
125,125,acc_2980,20220120,30,23,23,US25401N1019,1,1,1.67,3,USD,1191.8
126,126,acc_2980,20220120,18,4,4,US00534A1025,1,100,6.7301,3,USD,1191.8
127,127,acc_2980,20220120,17,4,4,US00534A1025,1,163,6.7301,3,USD,1191.8
128,128,acc_2980,20220120,31,23,23,US25401N1019,1,100,1.67,3,USD,1191.8
129,129,acc_2980,20220120,26,23,23,US83406F1021,1,100,14.23,3,USD,1191.8
130,130,acc_2980,20220121,4,1,1,US83406F1021,2,10,14.335,3,USD,1190.4
131,131,acc_2980,20220121,3,1,1,US0675322004,1,26,5.605,3,USD,1190.4
132,132,acc_2980,20220121,2,1,1,US83406F1021,2,14,14.3297,3,USD,1190.4
133,133,acc_2980,20220121,1,1,1,US0675322004,1,36,5.64,3,USD,1190.4
134,134,acc_2980,20220124,26,20,20,US09606H1014,2,50,3.58,3,USD,1193.6
135,135,acc_2980,20220124,31,20,20,US09606H1014,2,100,3.58,3,USD,1193.6
136,136,acc_2980,20220124,13,1,1,US36467W1099,2,33,89.2099,3,USD,1193.6
137,137,acc_2980,20220124,12,1,1,US09060J1060,1,854,3.5523,3,USD,1193.6
138,138,acc_2980,20220124,2,1,1,US0557MQ2066,2,1012,3.0587,3,USD,1193.6
139,139,acc_2980,20220124,3,1,1,US0557MQ2066,1,1012,3.03,3,USD,1193.6
140,140,acc_2980,20220124,4,1,1,US09060J1060,2,51,3.61,3,USD,1193.6
141,141,acc_2980,20220124,5,1,1,US09060J1060,2,100,3.61,3,USD,1193.6
142,142,acc_2980,20220124,6,1,1,US09060J1060,2,100,3.61,3,USD,1193.6
143,143,acc_2980,20220124,7,1,1,US09060J1060,2,3,3.61,3,USD,1193.6
144,144,acc_2980,20220124,8,1,1,US09060J1060,2,200,3.605,3,USD,1193.6
145,145,acc_2980,20220124,9,1,1,US09060J1060,2,200,3.605,3,USD,1193.6
146,146,acc_2980,20220124,10,1,1,US09060J1060,2,100,3.61,3,USD,1193.6
147,147,acc_2980,20220124,11,1,1,US09060J1060,2,100,3.61,3,USD,1193.6
148,148,acc_2980,20220124,14,3,3,US36467W1099,1,33,96.5901,3,USD,1193.6
149,149,acc_2980,20220124,15,3,3,US09606H1014,2,440,3.8891,3,USD,1193.6
150,150,acc_2980,20220124,16,3,3,US09606H1014,2,400,3.8891,3,USD,1193.6
151,151,acc_2980,20220124,17,3,3,US09606H1014,1,273,3.88,3,USD,1193.6
152,152,acc_2980,20220124,19,4,4,US83406F1021,2,247,13.1796,3,USD,1193.6
153,153,acc_2980,20220124,18,3,3,US09606H1014,1,567,3.88,3,USD,1193.6
154,154,acc_2980,20220124,28,20,20,US09606H1014,2,50,3.58,3,USD,1193.6
155,155,acc_2980,20220124,21,20,20,US83406F1021,1,218,13.06,3,USD,1193.6
156,156,acc_2980,20220124,22,20,20,US09606H1014,2,10,3.58,3,USD,1193.6
157,157,acc_2980,20220124,23,20,20,US09606H1014,2,61,3.58,3,USD,1193.6
158,158,acc_2980,20220124,24,20,20,US09606H1014,2,397,3.58,3,USD,1193.6
159,159,acc_2980,20220124,1,1,1,US09606H1014,1,801,3.9001,3,USD,1193.6
160,160,acc_2980,20220124,25,20,20,US09606H1014,2,52,3.58,3,USD,1193.6
161,161,acc_2980,20220124,29,20,20,US09606H1014,2,5,3.58,3,USD,1193.6
162,162,acc_2980,20220124,20,20,20,US83406F1021,1,1,13.06,3,USD,1193.6
163,163,acc_2980,20220124,27,20,20,US09606H1014,2,26,3.58,3,USD,1193.6
164,164,acc_2980,20220124,30,20,20,US09606H1014,2,50,3.57,3,USD,1193.6
165,165,acc_2980,20220125,17,19,19,US83406F1021,1,100,12.88,3,USD,1194.2
166,166,acc_2980,20220125,16,19,19,US83406F1021,1,50,12.89,3,USD,1194.2
167,167,acc_2980,20220125,11,2,2,KYG3302D1034,1,390,3.8817,3,USD,1194.2
168,168,acc_2980,20220125,14,19,19,US83406F1021,1,20,12.9,3,USD,1194.2
169,169,acc_2980,20220125,12,2,2,KYG3302D1034,1,100,3.905,3,USD,1194.2
170,170,acc_2980,20220125,13,2,2,KYG6096M1069,2,845,2.2594,3,USD,1194.2
171,171,acc_2980,20220125,15,19,19,US83406F1021,1,71,12.88,3,USD,1194.2
172,172,acc_2980,20220125,10,1,1,KYG3302D1034,2,490,4.5294,3,USD,1194.2
173,173,acc_2980,20220125,6,0,0,US92859E1082,2,41,2.4898,3,USD,1194.2
174,174,acc_2980,20220125,8,0,0,US36467W1099,2,22,102.29,3,USD,1194.2
175,175,acc_2980,20220125,7,0,0,US92859E1082,1,938,2.4207,3,USD,1194.2
176,176,acc_2980,20220125,18,19,19,US83406F1021,1,6,12.92,3,USD,1194.2
177,177,acc_2980,20220125,1,0,0,US92859E1082,2,100,2.4898,3,USD,1194.2
178,178,acc_2980,20220125,2,0,0,US92859E1082,2,390,2.4898,3,USD,1194.2
179,179,acc_2980,20220125,3,0,0,US92859E1082,2,100,2.4898,3,USD,1194.2
180,180,acc_2980,20220125,4,0,0,US92859E1082,2,100,2.4898,3,USD,1194.2
181,181,acc_2980,20220125,5,0,0,US92859E1082,2,207,2.4898,3,USD,1194.2
182,182,acc_2980,20220125,9,1,1,US36467W1099,1,22,99.4501,3,USD,1194.2
183,183,acc_2980,20220125,19,19,19,US09606H1014,2,926,3.37,3,USD,1194.2
184,184,acc_2980,20220125,24,19,19,US09606H1014,1,18,3.46,3,USD,1194.2
185,185,acc_2980,20220125,21,19,19,US09606H1014,1,135,3.46,3,USD,1194.2
186,186,acc_2980,20220125,55,20,20,KYG6096M1069,1,134,2.34,3,USD,1194.2
187,187,acc_2980,20220125,56,21,21,KYG6096M1069,2,1130,2.5,3,USD,1194.2
188,188,acc_2980,20220125,57,21,21,KYG6096M1069,1,100,2.19,3,USD,1194.2
189,189,acc_2980,20220125,58,21,21,KYG6096M1069,1,5,2.19,3,USD,1194.2
190,190,acc_2980,20220125,59,21,21,KYG6096M1069,1,84,2.19,3,USD,1194.2
191,191,acc_2980,20220125,60,21,21,KYG6096M1069,1,5,2.19,3,USD,1194.2
192,192,acc_2980,20220125,61,21,21,KYG6096M1069,1,300,2.19,3,USD,1194.2
193,193,acc_2980,20220125,62,21,21,KYG6096M1069,1,200,2.19,3,USD,1194.2
194,194,acc_2980,20220125,63,21,21,KYG6096M1069,1,1,2.19,3,USD,1194.2
195,195,acc_2980,20220125,64,21,21,KYG6096M1069,1,109,2.19,3,USD,1194.2
196,196,acc_2980,20220125,65,21,21,KYG6096M1069,1,26,2.19,3,USD,1194.2
197,197,acc_2980,20220125,66,21,21,KYG6096M1069,1,300,2.19,3,USD,1194.2
198,198,acc_2980,20220125,67,21,21,US82640U4040,2,10,25.37,3,USD,1194.2
199,199,acc_2980,20220125,54,20,20,KYG6096M1069,1,5,2.34,3,USD,1194.2
200,200,acc_2980,20220125,68,21,21,US82640U4040,2,86,25.49,3,USD,1194.2
201,201,acc_2980,20220125,70,21,21,US82640U4040,1,41,24.38,3,USD,1194.2
202,202,acc_2980,20220125,71,21,21,US09606H1014,2,538,4.29,3,USD,1194.2
203,203,acc_2980,20220125,72,21,21,US09606H1014,1,50,3.87,3,USD,1194.2
204,204,acc_2980,20220125,73,21,21,US09606H1014,1,438,3.87,3,USD,1194.2
205,205,acc_2980,20220125,74,21,21,US09606H1014,1,50,3.87,3,USD,1194.2
206,206,acc_2980,20220125,75,22,22,US1628281073,2,100,2.87,3,USD,1194.2
207,207,acc_2980,20220125,76,22,22,US1628281073,2,100,2.86,3,USD,1194.2
208,208,acc_2980,20220125,78,22,22,US1628281073,2,391,2.87,3,USD,1194.2
209,209,acc_2980,20220125,79,22,22,US1628281073,2,100,2.86,3,USD,1194.2
210,210,acc_2980,20220125,80,22,22,US1628281073,2,31,3.0,3,USD,1194.2
211,211,acc_2980,20220125,81,23,23,US1628281073,2,32,2.3898,3,USD,1194.2
212,212,acc_2980,20220125,82,23,23,US1628281073,2,170,2.3898,3,USD,1194.2
213,213,acc_2980,20220125,83,23,23,US1628281073,1,943,2.5107,3,USD,1194.2
214,214,acc_2980,20220125,69,21,21,US82640U4040,1,55,24.36,3,USD,1194.2
215,215,acc_2980,20220125,20,19,19,US09606H1014,2,15,3.57,3,USD,1194.2
216,216,acc_2980,20220125,53,20,20,KYG6096M1069,1,77,2.34,3,USD,1194.2
217,217,acc_2980,20220125,51,20,20,KYG6096M1069,1,100,2.34,3,USD,1194.2
218,218,acc_2980,20220125,22,19,19,US09606H1014,1,20,3.46,3,USD,1194.2
219,219,acc_2980,20220125,23,19,19,US09606H1014,1,50,3.46,3,USD,1194.2
220,220,acc_2980,20220125,25,19,19,US09606H1014,1,6,3.46,3,USD,1194.2
221,221,acc_2980,20220125,26,19,19,US09606H1014,1,8,3.46,3,USD,1194.2
222,222,acc_2980,20220125,27,19,19,US09606H1014,1,4,3.46,3,USD,1194.2
223,223,acc_2980,20220125,28,19,19,US09606H1014,1,700,3.46,3,USD,1194.2
224,224,acc_2980,20220125,29,19,19,KYG6096M1069,2,300,2.81,3,USD,1194.2
225,225,acc_2980,20220125,30,19,19,KYG6096M1069,2,300,2.81,3,USD,1194.2
226,226,acc_2980,20220125,31,19,19,KYG6096M1069,2,188,2.81,3,USD,1194.2
227,227,acc_2980,20220125,32,19,19,KYG6096M1069,2,249,2.81,3,USD,1194.2
228,228,acc_2980,20220125,33,19,19,KYG6096M1069,2,20,2.79,3,USD,1194.2
229,229,acc_2980,20220125,34,19,19,KYG6096M1069,2,100,2.8,3,USD,1194.2
230,230,acc_2980,20220125,35,19,19,KYG6096M1069,1,100,2.83,3,USD,1194.2
231,231,acc_2980,20220125,52,20,20,KYG6096M1069,1,10,2.34,3,USD,1194.2
232,232,acc_2980,20220125,36,19,19,KYG6096M1069,1,59,2.83,3,USD,1194.2
233,233,acc_2980,20220125,38,19,19,KYG6096M1069,1,500,2.83,3,USD,1194.2
234,234,acc_2980,20220125,39,19,19,KYG6096M1069,1,100,2.83,3,USD,1194.2
235,235,acc_2980,20220125,40,19,19,KYG6096M1069,1,193,2.84,3,USD,1194.2
236,236,acc_2980,20220125,41,19,19,KYG6096M1069,1,194,2.84,3,USD,1194.2
237,237,acc_2980,20220125,42,20,20,KYG6096M1069,2,300,2.71,3,USD,1194.2
238,238,acc_2980,20220125,43,20,20,KYG6096M1069,2,225,2.7,3,USD,1194.2
239,239,acc_2980,20220125,44,20,20,KYG6096M1069,2,33,2.71,3,USD,1194.2
240,240,acc_2980,20220125,45,20,20,KYG6096M1069,2,341,2.72,3,USD,1194.2
241,241,acc_2980,20220125,46,20,20,KYG6096M1069,2,300,2.71,3,USD,1194.2
242,242,acc_2980,20220125,47,20,20,KYG6096M1069,1,400,2.34,3,USD,1194.2
243,243,acc_2980,20220125,48,20,20,KYG6096M1069,1,392,2.34,3,USD,1194.2
244,244,acc_2980,20220125,49,20,20,KYG6096M1069,1,71,2.34,3,USD,1194.2
245,245,acc_2980,20220125,50,20,20,KYG6096M1069,1,10,2.34,3,USD,1194.2
246,246,acc_2980,20220125,37,19,19,KYG6096M1069,1,11,2.83,3,USD,1194.2
247,247,acc_2980,20220125,77,22,22,US1628281073,2,19,2.87,3,USD,1194.2
248,248,acc_2980,20220127,1,0,0,KYG6096M1069,1,245,1.52,3,USD,1197.0
249,249,acc_2980,20220127,3,0,0,KYG6096M1069,1,100,1.52,3,USD,1197.0
250,250,acc_2980,20220127,5,1,1,KYG4760X1025,2,3,7.235,3,USD,1197.0
251,251,acc_2980,20220127,6,1,1,KYG4760X1025,2,26,7.2339,3,USD,1197.0
252,252,acc_2980,20220127,7,5,5,US00165C1045,2,1,14.7398,3,USD,1197.0
253,253,acc_2980,20220127,8,5,5,US00165C1045,2,2,14.5693,3,USD,1197.0
254,254,acc_2980,20220127,2,0,0,KYG6096M1069,1,500,1.52,3,USD,1197.0
255,255,acc_2980,20220127,4,0,0,KYG4760X1025,2,157,7.9971,3,USD,1197.0
256,256,acc_2980,20220201,3,22,22,KYG4760X1025,1,62,4.66,3,USD,1202.4
257,257,acc_2980,20220201,13,23,23,KYG4760X1025,2,12,5.1897,3,USD,1202.4
258,258,acc_2980,20220201,10,23,23,US22530J2006,1,498,1.6711,3,USD,1202.4
259,259,acc_2980,20220201,9,23,23,US22530J2006,2,398,1.77,3,USD,1202.4
260,260,acc_2980,20220201,8,23,23,US22530J2006,2,100,1.77,3,USD,1202.4
261,261,acc_2980,20220201,1,2,2,KYG4760X1025,1,170,4.7748,3,USD,1202.4
262,262,acc_2980,20220201,2,2,2,CA03879J1003,2,281,2.8994,3,USD,1202.4
263,263,acc_2980,20220201,7,23,23,US36467W1099,1,7,114.7101,3,USD,1202.4
264,264,acc_2980,20220201,6,22,22,US36467W1099,2,7,113.91,3,USD,1202.4
265,265,acc_2980,20220201,5,22,22,KYG4760X1025,1,100,4.7,3,USD,1202.4
266,266,acc_2980,20220201,11,23,23,KYG4760X1025,2,158,5.16,3,USD,1202.4
267,267,acc_2980,20220201,12,23,23,US00165C1045,1,3,17.17,3,USD,1202.4
268,268,acc_2980,20220201,4,22,22,KYG4760X1025,1,24,4.7,3,USD,1202.4
269,269,acc_2980,20220202,13,2,2,US36192A1097,2,155,5.0874,3,USD,1202.4
270,270,acc_2980,20220202,20,21,21,US67086U3077,2,367,2.36,3,USD,1202.4
271,271,acc_2980,20220202,19,21,21,CA03879J1003,1,75,3.12,3,USD,1202.4
272,272,acc_2980,20220202,18,21,21,CA03879J1003,1,6,3.13,3,USD,1202.4
273,273,acc_2980,20220202,17,21,21,CA03879J1003,1,200,3.13,3,USD,1202.4
274,274,acc_2980,20220202,16,3,3,KYG4760X1025,2,160,4.2654,3,USD,1202.4
275,275,acc_2980,20220202,15,3,3,US36192A1097,1,5,4.47,3,USD,1202.4
276,276,acc_2980,20220202,14,3,3,US36192A1097,1,150,4.47,3,USD,1202.4
277,277,acc_2980,20220202,12,2,2,IL0011789042,1,262,3.003,3,USD,1202.4
278,278,acc_2980,20220202,11,2,2,IL0011789042,2,57,3.44,3,USD,1202.4
279,279,acc_2980,20220202,10,2,2,IL0011789042,2,105,3.43,3,USD,1202.4
280,280,acc_2980,20220202,9,2,2,IL0011789042,2,100,3.43,3,USD,1202.4
281,281,acc_2980,20220202,8,2,2,US36467W1099,1,8,104.9201,3,USD,1202.4
282,282,acc_2980,20220202,7,1,1,US36467W1099,2,8,106.25,3,USD,1202.4
283,283,acc_2980,20220202,3,0,0,US54142F1021,1,1202,0.716,3,USD,1202.4
284,284,acc_2980,20220202,5,1,1,IL0011789042,2,289,3.1,3,USD,1202.4
285,285,acc_2980,20220202,4,0,0,US54142F1021,1,50,0.7181,3,USD,1202.4
286,286,acc_2980,20220202,6,1,1,IL0011789042,1,289,3.18,3,USD,1202.4
287,287,acc_2980,20220202,2,0,0,US54142F1021,2,1252,0.6985,3,USD,1202.4
288,288,acc_2980,20220202,1,0,0,US67086U3077,1,367,2.3608,3,USD,1202.4
289,289,acc_2980,20220204,1,0,0,KYG4760X1025,1,160,5.2502,3,USD,1205.4
290,290,acc_2980,20220204,2,0,0,KYG4760X1025,2,156,5.3984,3,USD,1205.4
291,291,acc_2980,20220209,1,3,3,KYG4760X1025,1,156,4.6947,3,USD,1197.8
292,292,acc_2980,20220209,2,3,3,AU0000205205,2,39,18.9794,3,USD,1197.8
293,293,acc_2980,20220222,12,19,19,US46222L1089,1,20,14.29,3,USD,1194.6
294,294,acc_2980,20220222,13,19,19,US46222L1089,1,3,14.29,3,USD,1194.6
295,295,acc_2980,20220222,19,20,20,MHY3894J1047,2,523,0.6119,3,USD,1194.6
296,296,acc_2980,20220222,20,22,22,MHY3894J1047,1,300,0.7068,3,USD,1194.6
297,297,acc_2980,20220222,18,20,20,MHY3894J1047,2,100,0.6113,3,USD,1194.6
298,298,acc_2980,20220222,17,20,20,US25400Q1058,1,3,105.76,3,USD,1194.6
299,299,acc_2980,20220222,14,19,19,US25400Q1058,2,3,108.95,3,USD,1194.6
300,300,acc_2980,20220222,11,19,19,US46222L1089,1,3,14.29,3,USD,1194.6
301,301,acc_2980,20220222,8,18,18,US25400Q1058,2,3,93.92,3,USD,1194.6
