,index,cus_no,act_no
22,130,57e476d662c2e554cb53b35b6a09ba9132078046560a1b6f0e5d9923a178d305,d44ef7c64cba67093930ac01635dfdbabc647f5bd9aa9b889ecf9106698ca20c
23,136,5a5c9f0fad5d05466cee0c545f91829d97b4bf82035f989cc97bc28eeee6e122,36c05053d87501db70ef01303e6406b8db88641af47ce75a33189cdc6d206460
24,142,7325ae0415a8cdaf022f411ee03db76912367d7c9627e1c52e17a40935d4c19e,54c1ae7110a4aa1c0bab8a7302c44c23a61ad0ca6948a600bac71653f0d2b788
25,148,79b9cf85a005ac70bb82b9e60efcc87cb15180f8bf31cfaa761552b0d26bf14a,c0aeeedb9e136efa95eba1496daa32c9818de4236522678ab1c5b57fdf2c9dca
26,154,f18d2fb415880bcbef92b3f58534a4b91a0f6f5ffe003ceafa8eb4eeb305e68d,3f354e6edf1dcee2bc3f122e557444acb5800f390b880725302c2287990c0f2f
27,160,bf1299537114d58bf45140430bac556a919f38d2577da19d55a35f159f61c3e7,3249b13d72ef82741e2319401df22d9cc447a8c09657616994f3b7aa2190f620
28,166,05ea56b9d4231ca9c60eed861c3e615bf67032a9765ec98e7e7b51b4a60dfc7b,dbd404227b3068d1f4fe9f5f92bf5bec1c7c1ce9dd74bb7d0d5ad4be5fbf7bdf
29,172,0465f7df9955aa60685d275ca4c91843d55fc874e94588f843c1b13af01f8116,32fde1b7dd6c85ac58abdb5684a9b9ff89df14c36189723492e5d11dea81ca4e
30,178,34bc796ed92a99a812fdd60297b52a250987bb8e773cb19bc0a89d6e0151b33d,19c97d59229690259f7fcfb0a50cd1cc04f64b8241ac05500c628b02c2560020
31,184,8b9f5b1ad84eb0a83baacb6f9efaa5e8d89feff18bbf450cc634d48e10f752b4,b5a9675638c5bd4fc4fba9e432d1aa3e8a8b3ceff2238cbd23a359e2b68d3d2c
32,190,a45cf05e010eed8d4247dd641f56b4c025b1e1aac376e910af33de5196a4d566,36fba6c14dc4673f4fd554236ec9304ed7bcb2f4ce1bc84b39d716cba82a5cc3
33,196,1091102463f0e85b1f4915dc309ff2f5758b53052046ee77d1036f57d63fd4c4,008c9026614f5e836e441ae7a5bef8b9682b8720373d421247d707a782cea995
34,202,4ae44a8be12fd97760c04254e6fcd329656b94b9aa68a042bd878529542d66fb,ab043544fc7a2720c78d4b8adf1d63777a9b40b13471b735c2dba88e64cc065a
35,208,ad17ae6158b838b1a14f956d6efb868be54106ad78fc288047b5b7e20c5022ce,f636d9dccad67cba3959eda1069323741f2145bae95c4c67c727ff07912a968c
36,214,c2c14b97ac3949f8ec633e4adba42ca9ba489e38187bc12559e72616ee35d8ea,00cae0dab37f15d797f9f4481de424d67db35680bcade86d1e21cd1b3583d3ef
37,218,127a27268ad204b80fa9cbb6b758a7ad2b9af8af0ed6b24942aba3e7817e829d,3c093fba1508232b78f50ab65c1c7bc43c823152b24559860ddc9ab1d4185456
38,224,773e094b9c433f02d9220c84e5bcd9a2ca519d0b67860c633a23fc28424b9a03,84675f3ff5fce33f944806c567831bcc200dadca48389cc39d73c3f5c91ff09c
39,230,b8eac5e290dff2a6e4bf9934cbf0e072bf8d1885162b6c7b916fc578c1bdf10a,7224e41302e83f6356187bddca1bcd19069862b3894eb5a4df2c26f0c9686bb7
40,236,5e3f2976c3bc72909a9fd5f2d947940c39f25c5b3cdae97a2ca0bab6c1f1e33e,f38134bd860d02c736e329dfd0e61cbce2677db406fd39ae0ed8aa0c563ddf4e
41,242,42c9e6ce472b8077cc2fb453c9b9ea80be96190a5eb2712d75d304c1f06ac8ab,cca46a5cf81e96ddd87176b259a767b4111995c19783a3899b3bf8f565567b12
42,248,a5b216c64c3b1dc25b880afeb69226daf558c4d716c7ad02cbb92c021cad768a,bfbab1ecdf728070b3b631fb8a0b51396e534f655fc5d3cb80a19c7ebef64b78
43,254,0cc779f1a6a081e4d2621accb3c5e892fedf021097ba72b30cbc8a868652bc68,7fc6ddaf7014dd00a1eb99310342cc43c2d22125b98ee353143ade58e8dc5f0a
44,260,1d25414f5beb2f6e8cf3d15f2c5e9f91cc52e7841a37388f1d60b68855c9a890,31c96756d28f29296b01f5d0bd1c92188278cb1454dceeb24336565eadc582d5
45,266,d6649c1c499f77d67b8fe70221414d1a9addd4795ad1844e2bac8f25371ad11f,d883379b5494bb5984a40126a6e031b18475c9ab4f74c387186d652f33314eb1
46,272,af4274d01c528265835be58e98c7ebb093d5d5a3776cfbaaa90d790020db8698,77640d18d925e3751a707aa20dcbdcd333a9559c8c29939d3863054f3160cb99
47,278,21a288dec3e5b0f88d12fcbe98a04e6a011e9584b3520c02c29153f1012aa1a1,c2a1b743d2b4eaf5e54fc576c2f521b30b5197b7b8f73c72884c1d1bf999d0d6
48,284,82f23b78d5a53c05eb08b9bef9e73eb7800cfd7056b6edf62d9e6534135f39d4,eb036f3e75cbaa47663ec3e7ac8ecfed33669d964e1369b380070558858e99b5
49,290,739354d8ebec591cd43b1beab22d4ded15743f56a35c8f160499079b0e0142d1,e8d4682ee4ed128b6bf0041ef2dd22eae4f094ae817914adff59c3704579a457
50,296,b0a8a44e2355a91d71651a2422585f658c6a546b59a599e4a10165bdf5bce46b,05f90371beb684ee2998e82731df3776ec2ab490dd51ffbbb5ed9b46a37df91f
51,302,23bf6f3f6b648f90b5f6f28bb9317fabe45deb685222f0c396fb0bb26d5bc766,6c933c35ae0fc38f82056bed7b40ad509ed5ecdc25f8be098d6da644d7af16b5
52,308,2f206291c81bc21a5e964378a3518f08519e45a2b6778500a9581127255933a6,a123727690c7ab75bf127a431e3371e3d77393a837a82ca393fba1cfc8e82d06
53,314,099eed668f41452156782f3f6560d81aa99996d88aeb4ac7b5a28b3ab2689095,4818839c78c4513d6e89612557ba8f9ed01a4f70072ca32643e62ad39bdd1b54
54,319,b0e37c7b74a464ce0b42cb7a5367f30dac64f9b4a9227ab1e465386825606f71,fdefc50d1b227bacfa0e8ccfdf4615ed5bcefa64c990f036ad7f7ef5824ac2af
55,325,772647d0eb2f2b7e8eece32d21009bf9552c1f4a0d98fbeb00e73d70e5e79460,f40b9ecaf7e6699f10745517203672ba04cc93c2317668ddf1946be7c1de4c81
56,331,de19fd51d515d36d8594a2008264ef27d99629a763cafb1619a3f2b607df1d90,5bbef9ae5b5d041655b4c94b523b3921e16e0b744a49d2e2f0ac2b06ff9d3b95
57,337,ac065014c7e3544f265f17901227865b8c91e2637d6cf6efb9991692d587a81f,5911b96b67f187d365452c6f2b55e48b929f49050e2ef15c5e46524a1d3b8547
58,343,811bc8de25e19d69977500573eb096c5517edb92c2d6a11b1330a4852791479d,fd7e3b8bc0ad10cffa2d1f0685038c1798fb7512b19979840f242bc8e70f335c
59,349,3143646cc227e7921aaf01e1632c062d36cd40911b76ec6b431de83201553a3d,44faa50e67f1ccab2dc1768f9a3435d84e190a51efca5f574e14623cfbb18fe3
60,355,c996d1a6d159ca53214bec733ee8dd31dfb560dbe9c481e24a740c3523f623d6,aff8eb97f75a5aff6d95dd9fe6dbda6858ffeefcccbae50aa3cb84d347241540
61,361,d3bb7c2dc39eb0a76f88907c956355072ec0b07d3e3fd1647c6a0bd7e0e779b8,6082a84cb35dc22cf2b0c1a4ba3fe18162430b6449bef74675a4752f2753079b
62,367,e9ae6055b36c191c927efe327d187ecee226a3557acc49a7fff30788e950ac59,a26dae286403727dc61f4db6ae38f0aa0ad642fddccba0eff5a92822c665c6f1
63,373,add4d016d24729ec8245351d7808251f47909e3a273f92329c62def4da9d63d4,1926aa2d27e3340fc29cbbc319bc16ac027638c3c639bda18851a083f240ee5f
64,379,c74f66ec55b09cc2181483057209c7ec37c10201557bce541ef0cf22ddb02bff,5aac78b4aad9fc0378181974abfe3dffdb886575004d3ef618ce26b6258d745b
65,385,a7fcc2268433525d2a5240ae8e878461fa868c723b14dd218f3042d769deea40,0bc717a9cff10516393bbdf413a868281838f27b3ffaae61f548e6a15a98912b
66,391,4faeac046a56dcd5e616004278aeb2e1c1c2fe42ec0195c5a4924d0a28d3d821,b37c93f35cac35d5739bbb2a03ed8bf8078e22b674fcd5e1e461d5a7ec73ec4b
67,397,758877b5e013f65110b4b31002d841ae9aa3b9a02f945b91a069a69e728976c2,9c96edd646e0bf4590cbe86886ae1717d76154fa196b9bd5747e0cc65043daaa
68,403,09bc5e58991e735fe1d2a4c8e20b0b7fb1872f3315e0c022b24b1422612783b1,24c1158fd617a511bdc8e518508dea81c9a4c323cb4e51029a256fb15f5a2d40
69,409,f857fce8ff3ac34b4b8b0781361fafe1b57557ed5ab9e852640f4beac8becf4f,db226736ac815036f7592bd1d1263be55ac6db3241230666de43f5925e1411b3
70,415,8c6a5edbe7082eeee0cd863cf25edf9dd106c84f37ab51eeb6a41c61a66bc6f3,43dd02884114345f518c2af5c0634025888e7a992f26e4c7b25576cc46cf4b81
71,421,6da55bc36db2e48e3691c999c5535c58415089c00716c22fb08cde8dfaf6ebca,b60e7050090d5c8ad5a817f32377ca91a8a36d1009a05d18b7418d82c42e66d5
72,427,e3ca59c8967bf09fc4ce3e3c659e04885c50412bc35e8ba647940288711b63d8,13f56c65e7ca51db546480eef4bcff14b843ecb7c69d0e531b183848777ea225
73,433,cf7a017a09d0532688152e9a8b3e1094eda8b7bcc4c7fa08e5dffe78eece9279,cb6959e3ae72267dd750c53c0b2c6a482adf97cb7a47b16297265dced3753339
74,439,c1a947e0728303b8e66074ae1902ba4639ebeabd691582f1f2213971e27d7f64,8acb5f0457b302a07188505680722cb5d8acd299abd6f090f81085d372c24bb3
75,445,168da7b6823634333f80ad0cbb6d3d7389357b613782fe02fb2410487cf168c8,379f5d2c549cb5276e89ff066c46c28d517e6e04db2be102031e37d7c12b44e6
76,451,0a890bb29eb399fd4ac68a63250d6d4b2d95f22f968bd22dc58dec54038c0962,f3e88f9cf38384a2af121af33e3d5796a5ce8cc29d7c5b62f04c2e164119e4e5
77,457,9c33aa6051d96d2e8c95b4cb1da40deeff0f21cc6a5712f0e6442886e321170a,d58965d63cf36c79202b49c8d5680337125dd1e589980ef8ff5b2ffabee61aa9
78,463,790a89b51e6db29d0e44d0f913447b78838e25a44a19f61deab8c471a99073c6,54fbeddbf3f2c443ec4945bbf680400903bfc0639b09c5dab43e275ced89e1b9
79,469,2995bd79d98d8bbb14f5d1f0ebcb505e00db9b7aa7add7b8dfc9aca79fcbd3ee,67c567b15842a2131f542b9076e7ab27439c2be25ea232ef93a7d3ea0f569d4f
80,475,c4645550dd86605a7b025cd2dd8be4230a3003933e2a9aa0efb2911a9d629fbc,15359e71364aff8d9f1055b63c39b4b9e08ab4171d67f8e6ef51422a7d1922bd
81,481,d28411e5e2f9b46206e240a8278f36fa8b9e61ebf9109dfc32d849d4df00138a,669f3cd4753e6ccdbe3d8b553926163284d59d2c2c254b13ca206599b2c10f89
82,487,38a08dbd00b0fa3bab39311b574cba2ed0f977979ed1fefda5193c4ba6714e50,7a4ab8c4827ef63319a5055ba15b73f2ec79e9913045263721905b4714ce2537
83,493,e31913b1c35a369268ece33a6c48765c9dad27e9b2e974a5224a345840cd9792,5323c9739bf09e723b6adfec5af714b6f072e739d6e6f5d8a9fe6e1bb7042472
84,499,7eb1064748359d06b94ee6fb8fc0b64f6c0efe26e05244d988f9c6742de7831c,dd0667204a17b7ea4a8d3b8490ca453d913f24fab99a791fcc2894d423b7999d
85,505,9c9358c2733d05c8b0453833489b2ce98aec689aac372655d1f947af4cf7f5b6,63c6bcb467e558e1b15528efbf3560f81b4ce9f14ddf7893066ae80243be0815
86,511,cdd8b6730cbee85c381cb5086c215d54d593ab0fb015ddc6c9ff590fb99b14bb,17de6a40cebd0fff923213ff4784153212ceaf4a1f5452babc846667c0c0895b
87,517,935118799d2c6b727cb3101c4682a69fa572f8d6183c97780dbf3c45603d3cd1,af5788de588cdea19e7ae57b9ed87efca47eda4b96c28cf8563dea37c3ad747d
88,518,62d6a90decf47c5be9680d2a4e155064d5b20298ea937c527e8022efb99758fb,4978ce9f472b3b02fd0cadf5d78cd5d7db7de3916f67b7aefa9014553d55a71c
89,524,7a0e3f9f484ca07059a5e849eb8fc3da4485f0b51d9f4de14976c4e8c538f98c,7dbfc7e4e002bfa6a3363c349119fce92608255e15fbf8b9fcdef7b999b4248a
90,530,430425bc232a24c3d86b3e0a065e438512c1531ace74dc9bf9b10b575f5f8d48,6e6e401b8a8f29b066acb9e78991689ec8e70dce4300d252364c489d8b6eff77
91,536,b7efd00943f533c6841f6144e1eec363c24c99f06665cd51fa49ab151c5678e2,8250d9f9425706c1b741c8fa9e145fd5138219a8d75d659138ad39201582d28c
92,542,79f9486d4581332b22c89da423f91bb3ca8c3daec242348fa41d3df35fdfb57e,1cb471744f3177c5fd6031ad00c1ca424b82f0ecb205f6b4bba7b7f8bdbc6291
93,548,6b4e5bb4202a7be7b02834002e1ee6cde532d5a45287b2cab3d3a03ea9d1a268,6eadaee6e9af6f35ba9f0af52286d888fd296dd1e2996df8c51665de325c5a60
94,554,c6ce396b355ea133ddec45845038fd319e6ae9f9b7874a15a1345ffb8e839b74,69bcd7adb4d47f8782cad7446965b16a6674a5b7ec91fc63e4ace649972df435
95,560,9da006b5b7c077c3222ea02b26766f7fb22cb2fcf2230dedfbd71c7d7583aa37,0f9a5781bae87492788333bb7bd533b41158413882e6302523aceea8ec989b06
96,566,15bb38118ad83fb317ce7337b01f5f3c430ac5b98f682e7f2fc9ec8e2c30f1f5,d6ac3dddfcc163ae5b10467d31ce23276c3a9b1e98a742eb06f40f3366a9640d
97,572,0c918a0c25448aab05b33ff4dc9cf1dbf63cb1f2f2538718f03619172ba7fe5e,3ac652aec0597a4030ad6df7688baf98efbd7349dd231bff226886b6ce08155d
98,578,9f6af0150e706cee86e67af55a9ce387cc2ea15fbbe0370b550109cc6908abf0,9e80eac879762a33bbcc6657e2c534c37c53b7db112ab144385e7e58a9f74dff
99,584,a34b9addae272a223339f3ed04123723a40ad5922091d201a97178a04a275613,1724f2464236748f07e85260383cdb1e34cf6541321bd49da005ed8ae3702201
100,590,da5107e0c5d7e0b26d19365739fd63bb8062ee58467b5bb3b240835f7632ed3a,0dee5c7fa03e23ba12d03f55d7c1fbd80d4cd0e711fe20f702e96e980f054368
101,596,638f69b2dcaa2ec65164da742e0f21eaee268a3af99319621daed06fb06da297,c51343dc86cbd79b27405e1a8a2053215e6d0750e8b79cf477b78fd7b63f6ace
102,602,bf25d858a9df62433180aa654b28a3b1b9fa6b1ad270bcd76d799d2582d90e71,198ec2f81cc939bc09d649682a8bbfc972ac13c9c698a258419e597a3fe597bc
103,608,5f3ddd9a9ddea340feab95ab56c7f940593552c7a412083d46c2a52d6f66cdbe,273c1747881ae74963cd094b6ed97cfca582cb0f2d781fd954780885f798c210
104,614,1776539bef96ecd926b2e0a267729a803722bdd52c780f5251c026d48830efc3,98a5d4c57a5ddf9f3aeafae7aa36f1e5d6f66ca82757499ddc057c6543527f52
105,620,2a3968e61b20b118d4ff7e1085e51aef4b2f8c5586de69bd6e45c1637d6e84a2,1534abcab2ac017cfa4933569ba761348554c978db74200a43dfb0741c276308
106,626,f75fe8c44901dc52e48e2ae6d9de1f27b76f14bd370f68430b71dad1c8eba76b,b5dcc1a359239f3168b5d24f88feaef5d620aac5451cdf7d81c555138779daea
107,632,4fb04e18c7517163892de71074d1e022d4424b2e82a43f90b5e311224fa5f254,36b4bc7ab822b799fb9539b5015137b9992d099de1e14d919d5dfb868be87e1e
108,638,73baacd8a996ba3f82e2de0351797281c94fa4cd5678d124de6129317bbe16e6,69f39884e8f34a8dc50857d96db5bbf16472d17c9a8989b79c1232c4ddab02c0
109,644,5bc27ea29e9696be725b4f1091f53d4eaf8e12f1803fcf00232bd1ba450c6423,4b97007c34761f94b33a64e17fe09b2038b394eb0e0776c1489e491be7b96043
110,650,30174ccec9d48f15c0f8ad82e8d26d6d47a8cd0497014fff6f9c3fa6eae24540,04c86509a456ae820ea9d9a6fb85b7343d733f5fbd990f8171040f31d424c4a2
111,656,f3030fe75372b8d5789be51efa302055148fdfad39e85f78ff4ceebaf027fabf,2c4f48e041f7a33e780b152e79203d63142f56e4ce52151733734cf53659ee5e
112,662,531334d3dc7d684b369a31cd0a1c43d5f2c2bb4f0c14615a810b44569670edd6,3c88bee124922f4025fbc57a64f65508b5cc8b84d9173169b02088161c2b4d40
113,668,54abb694eebd4ae2345a7900e01c5c8030ae93fed18e370e8e0f2af4728c83ad,a16fca3d6812953d5903e261aa163eaf5e5f4083bcd342eb4b12032406b191d2
114,674,4988413e526c5f99ad8df5886a6690e2b100d88dc71a99199bc6e482526c211c,964108bc16529073de27f6b87ce25e27f0595e9139c8b5d43debd98c25df537b
115,680,9aea68cc1273c5401b9e3948b0024c0b2e976d00913949d99e6df799f5f82948,72522049ce9fce36b05e717a01f112aeedcb33d4ce7d286dc1c7e9ae41a226a4
116,686,9794041ff7f8dfa8a4b40525bffd9d765e810ce4ba849e89eaf2e2a15221063b,5b2113725d2e8e09813047fafd73b923c0853ecbe9172e75667d0a625c372588
117,692,a007e1593cae95a7f8c21736aa6fdd8049bb5609feac0958d42b607f7f60c9c7,135bdcfa208fce56f021c21b7558ea010feff32e37a37c8ba3ec45b723de8137
118,698,77e0761ad99343ea3c49db83a3d95de8fc83536981bd5894451bb64e98cface8,06bf8d31e04aaaff5d37781244b92793f886e5ee5c17c07391881aee7ccb2376
119,704,ea2ba7952f64493128c9790aae08753ac5cebf94fefa2fecde619e5d466073d4,09c751e227d889771d2827709635e487332e02e3bf46444034ed93fed5742410
120,710,87abe5582a613e26982c2ed11e215ce56b0d79043cdf63ffb6ae68614ce2b241,9e59d09c2cd181047487261796117b70d116ecab746c7866023fc8fbe16a5243
121,716,5870ed7127a3792630552111fd778e309b33c68fbcf93a99469a79590cc20467,b47bb82df141aee27878d8e03871f7c918d846dde4d07491b61e2dfdc3371845
122,722,a82c93948c5513eb85272dab14109a4c2e4fe66f35c46a6c4a3c69332010cc72,b195de07dec03c447735616a124d33c841f33e921555a30ac0510b7d727112f1
123,728,c244a00328d6667b2daba10b57ee7d029a045caa7c19ae647c820bef7675192d,e4156921f8b37fc539ec577fdbe9cebbaecd7cc89fe20e8802efeca13431189c
124,734,196d432e87f4a9beb54f873b187f040225d6d8960ba30a7ac8f99ae07c65671f,f0be3839ef9b4eacb11f64b25cc4df8f512444fab178d9d3e7d542090620e824
125,740,9c992d5e9c5127bcb50098a77b9bf24be6251868e6f3d4eaa4705d6b094ea3df,af2db66704290a9c6bafa36c858615b5d1339ff0839c0d6bca8eac5e0c098265
126,746,1dfcf663ae9e62eaeebc41c2bef3400d2a016b7bad0bc1d19622f3a2a7371b60,4837c095a87dbabccdde2975e5cd3797336171ecb21a586f4692a4d8f21cbe7b
127,752,e45da49628d8abf8a810e89555b65cac0de48955220e3eaf50682f602a44e744,88f309a6258727a9eaee9db279a30f32721b94079591d31343b6c8dd9ded37c8
128,758,e63a64b7a489e03c743d956f1ef09aebd3c57c5d6a821fe6e6bf52d91ca59838,e434e748861118d7738011ed35ba37b62264db58276744f27f52752d7ba892fd
129,764,a2d34d8e6bdfee08cc05260a061fe8ad6bfddffe64a85e74d4f632e32113e0f6,a553923626129108cfb2850c73728667185bbea597e07da664ac1ba2ff5f87fb
130,770,49eb0a4a0ad361f25b83ec7d2e5772681de9ca6699af6db29bc05c14b7b6ed77,268c54df18721f4fb6b74535bac96a96bf2bc0d4d4f9c3bdfcb55b1b43e64253
131,776,881a3db34352f6009d5066117af5158dd5cb9de104d1c92e0df85760ea35dcde,5f458e8eeb990f3d877b728dfe22a639c3731154f373fa15e63baff7dff854aa
132,782,9d810099ce40906f00ed32770bc0ca201a5f59f5340ae53cd7409a1e56bef386,4356ffa95d8c7789546d5af228ed71ac1cd0ecf53afa4828e6accc9f33f97778
133,788,28c1bbc60f8e726954ab4b8ec8cb87d785dad631f50f5ea90839ae85ad79b39f,93ac37981c959e484cce93bbb1ebaf85b3bc56e496cde9cfdf1b1a070d4263f3
134,794,a01076d99ff921513df28039328c7b4c1057dcd8c8360c66088e74df140afbf9,0e4a053c574dc56f03c54c3d4b3750ab10dcae3a12ef5b78e40fd42156d1f8a7
135,800,c285931b032b102536f84d16bf8b8135af68e4a19f58d9fda4d8be24d354b1ea,b3a7e28c8cc78df1164a5934240d6294b9588d9d9e270577c6c907611cab62b4
136,806,8ed0aaa90a042ccb4b7b11ce8548f9f201f1544e4213bf614f5c0fb0039cadda,80beb74be41d050c0033cf21f96c3f7bec1b4a934e29c5d47172fc93a8f2fd97
137,809,4c1b9a84e46a2211d22a64806f445143e822beb52f208ed732a00fa34b7cebff,f912ce2533b8103088c01bdaf2eb513dd1c772ee82f2f2c0817709a8f1b83bce
138,815,1fbc8fe162a3ca91efbadc3c5bb70aaa4c7e79fbd3ca9553d18e962fefdec470,587a6f68d815b7f2e03ddc71eaf74fac9311825d2ffb0b5468b35bc823f15736
139,821,9ba32130806c28cba6e25d06038d023d53d2940718dce0d9b6e4a907af40a142,63930c64d1d7bdda3179a05d67b8e70104f4fdc2c75a9942cc84a7b29dd6e95a
140,827,a58835625cd2504c54d5d48de6b78e00842403998babd9aed0326c85ff02dce9,fae16749cdf2ef0230196ae762f019407a7559358de1fc9095cf7d9303b49ccd
141,833,da11b8e2c17f6bd1c3349b3637b8fb648802a9f9cdb1f778fae70a75f35d026f,cc4342410523aa326320283bc6341487d7a9d910bc8425c844e7f7c58c439657
142,839,470a07f2e1e8b451e3eaa93fbae15740481cc5c0a115eb7c59d1b1b3655549d0,2902efdf0c69faee6887a37737e686c55af37b74bd5ae320d1054322b8ca7a02
143,845,e18e4478517f0d105f32cfc72ab4c5fe0eb67f04b7dd5e0c36a683f6429c83ae,232e9aff045d3af7b279ff46d5c1955869ac02037089435f1cc31dbe643b2130
144,851,42bd23ffcdee9eef547e7949d1f02eb8381bc764405e2785bf80a6993bfbcc7f,c1677cdb1fbdc7b5c170cb10814a7c9b121b5aea78f5e76b2bf764d29dab2d2a
145,857,4810433ce0abad176593c0ad22bce6e5d2fb7741c68a27f5fa6732704b0e0f0c,49580c545c7becfdbb3ff791feeabc1ec8f1a60a0168c07a6faccbe85506ebd8
146,863,716c4e5b3ccde7975d4e641987f5698ea11c5216c69b9c8ca40720dabac698c4,31a9e253012413d63f27a5462282b9dcddcad5fb75c61d46101138044ffdcabe
147,869,fb10caf940ef7047bc03e55e9f016232f4d7126745651e4d36676248fcc9d18f,152af4051a49f8b764c88f1bf12d31132e8fe9346661969703eddcdafff81b2e
148,875,1f22d402c151f5b6dfeb3b4154e7b92e35df8f9fbfba334d835d86dee247eca4,a2239f343749e68b01ef2318cad73fa0a106a2cc8dccfa09fb82dba6de4f4692
149,881,a4311e623029513643cd9fcb441daba08c5b4bc851b38be7e12bfb66d7348cc4,7194627231316607a2617d2bccd63bf4700a6205aba14f7145ae965b3ea44e86
150,887,cf63509e2364c16ca76e049149fd0a0d9c6139b67951436f48d1c2ea60d25210,185c28ce7b7723b3a7efd625634dd813243f71d8bfaae30287df5ca88ae1e07c
151,893,7762b9d973b27ac4c242c29a53776b459161ae0e4e61480ac57ea2513f5637b6,8b1f9c20bcef1564fb754339358ada499915ae00f8e0e522449c8a7f3f3cde15
152,899,27e05f5ccfe64b594add89dc14e72a88407c995e38d811c3973cb5a2405d40d0,f5e5202344818b84bb42ffe4ed1a6724a27e4cbbb42537d5e1c7eff8c7dfe6c4
153,902,be627cffb5b511fc0a000ac8027cd3cedec4bb523d4d1ea775bf8c8bf12f1917,b2099f834bd9916acf75a6c3b2885d6853094f4fa0f26c5ab4e7d630d1128158
154,908,04a169449aac7d25481c83bea02971c97b49a5f6264eb6175ecd96b472294435,906676c74521d1b2044f51a8e5e5f762692d238ebf2fd85f68d7256269928f61
