,act_no,orr_dt,orr_ord,orr_rtn_hur,lst_cns_hur,iem_cd,sby_dit_cd,cns_qty,orr_pr,orr_mdi_dit_cd,trd_cur_xcg_rt,FX_AUD,FX_CNY,FX_EUR,FX_GBP,FX_HKD,FX_JPY,FX_USD,FX_VND
107,146,20220110,1,0,0,US74347X8314,2,15,132.34,3,1202.4,0,0,0,0,0,0,1,0
108,146,20220113,1,8,8,US74347X8314,2,24,70.79,3,1189.9,0,0,0,0,0,0,1,0
109,146,20220114,2,22,22,US2362721001,1,50,6.7,3,1188.2,0,0,0,0,0,0,1,0
110,146,20220114,1,22,22,US2362721001,1,110,6.7,3,1188.2,0,0,0,0,0,0,1,0
111,146,20220114,3,22,22,US2362721001,1,1,6.71,3,1188.2,0,0,0,0,0,0,1,0
112,146,20220120,1,8,8,US74347X8314,2,28,60.54,3,1191.8,0,0,0,0,0,0,1,0
113,146,20220120,2,8,8,US0636796171,2,112,18.46,3,1191.8,0,0,0,0,0,0,1,0
114,146,20220120,3,8,8,US0636796171,2,62,18.48,3,1191.8,0,0,0,0,0,0,1,0
115,146,20220127,1,7,7,US25459W4583,2,1,37.06,3,1197.0,0,0,0,0,0,0,1,0
116,146,20220127,3,7,7,US25459W4583,2,10,37.05,3,1197.0,0,0,0,0,0,0,1,0
117,146,20220127,2,7,7,US25459W4583,2,5,37.03,3,1197.0,0,0,0,0,0,0,1,0
118,146,20220127,4,7,7,US25459W4583,2,50,37.08,3,1197.0,0,0,0,0,0,0,1,0
119,146,20220131,1,0,0,US25459W4583,1,66,42.07,3,1202.4,0,0,0,0,0,0,1,0
120,146,20220204,1,19,19,US25459W4583,2,40,44.07,3,1205.4,0,0,0,0,0,0,1,0
121,146,20220204,2,23,23,US25459W4583,2,24,41.22,3,1205.4,0,0,0,0,0,0,1,0
122,146,20220208,1,6,6,US25459W4583,1,30,46.54,3,1199.4,0,0,0,0,0,0,1,0
123,146,20220208,2,6,6,US25459W4583,1,34,46.54,3,1199.4,0,0,0,0,0,0,1,0
124,146,20220218,1,0,0,US25459W4583,2,1,39.0299,3,1197.1,0,0,0,0,0,0,1,0
125,146,20220218,2,0,0,US25459W4583,2,44,39.0099,3,1197.1,0,0,0,0,0,0,1,0
126,146,20220218,3,23,23,US25459W4583,2,36,41.14,3,1197.1,0,0,0,0,0,0,1,0
127,146,20220218,4,23,23,US25459W4583,2,36,41.14,3,1197.1,0,0,0,0,0,0,1,0
128,146,20220222,1,0,0,US25459W4583,1,39,41.09,3,1194.6,0,0,0,0,0,0,1,0
129,146,20220222,4,0,0,US25459W4583,1,44,41.09,3,1194.6,0,0,0,0,0,0,1,0
130,146,20220222,3,0,0,US25459W4583,1,20,41.09,3,1194.6,0,0,0,0,0,0,1,0
131,146,20220222,2,0,0,US25459W4583,1,14,41.09,3,1194.6,0,0,0,0,0,0,1,0
132,146,20220223,1,5,5,US25459W4583,2,67,35.69,3,1194.7,0,0,0,0,0,0,1,0
133,146,20220224,2,20,20,US25459W4583,2,75,32.05,3,1192.1,0,0,0,0,0,0,1,0
134,146,20220224,1,0,0,US25459W4583,1,142,34.63,3,1192.1,0,0,0,0,0,0,1,0
135,146,20220301,1,8,8,US25459W4583,2,68,36.78,3,1202.7,0,0,0,0,0,0,1,0
136,146,20220302,1,6,6,US25459W4583,1,68,40.03,3,1205.6,0,0,0,0,0,0,1,0
137,146,20220303,1,9,9,US25459W4583,2,46,36.62,3,1205.0,0,0,0,0,0,0,1,0
138,146,20220304,2,20,20,US25459W4583,2,23,36.8,3,1203.6,0,0,0,0,0,0,1,0
139,146,20220304,1,0,0,US25459W4583,2,73,35.515,3,1203.6,0,0,0,0,0,0,1,0
140,146,20220318,1,7,7,US25459W4583,1,142,39.23,3,1220.6,0,0,0,0,0,0,1,0
141,146,20220401,2,23,23,US25459W4583,2,25,37.09,3,1210.7,0,0,0,0,0,0,1,0
142,146,20220401,1,23,23,US25459W4583,2,50,37.35,3,1210.7,0,0,0,0,0,0,1,0
143,146,20220405,1,22,22,US25459W4583,2,76,36.0398,3,1216.7,0,0,0,0,0,0,1,0
144,148,20220405,2,17,17,US6475811070,1,49,1.28,3,1216.7,0,0,0,0,0,0,1,0
145,148,20220405,1,17,17,US6475811070,1,1,1.29,3,1216.7,0,0,0,0,0,0,1,0
146,148,20220517,3,23,23,US9344231041,1,7,17.65,3,1281.6,0,0,0,0,0,0,1,0
147,148,20220517,2,23,23,US19260Q1076,1,1,64.93,3,1281.6,0,0,0,0,0,0,1,0
148,148,20220517,1,23,23,US00206R1023,1,31,20.3224,3,1281.6,0,0,0,0,0,0,1,0
149,148,20220523,2,19,19,US22266T1097,2,5,13.04,3,1269.5,0,0,0,0,0,0,1,0
150,148,20220523,1,19,19,US22266T1097,2,7,13.04,3,1269.5,0,0,0,0,0,0,1,0
151,148,20220523,3,19,19,US22266T1097,2,13,13.04,3,1269.5,0,0,0,0,0,0,1,0
152,166,20220106,2,23,23,US74347X8314,2,2,149.94,3,1198.2,0,0,0,0,0,0,1,0
153,166,20220106,1,23,23,US74347X8314,2,3,146.9,3,1198.2,0,0,0,0,0,0,1,0
154,166,20220107,1,0,0,US74347X8314,2,3,146.48,3,1199.6,0,0,0,0,0,0,1,0
155,166,20220110,1,5,5,US74347X8314,2,2,142.81,3,1202.4,0,0,0,0,0,0,1,0
156,166,20220112,1,0,0,US74347X8314,2,2,152.8393,3,1195.2,0,0,0,0,0,0,1,0
157,166,20220113,2,4,4,US74347X8314,2,4,72.2199,3,1189.9,0,0,0,0,0,0,1,0
158,166,20220113,1,2,2,US74347X8314,2,2,72.09,3,1189.9,0,0,0,0,0,0,1,0
159,166,20220114,1,0,1,US74347X8314,2,3,70.32,3,1188.2,0,0,0,0,0,0,1,0
160,166,20220119,1,1,1,US74347X8314,2,5,66.46,3,1188.9,0,0,0,0,0,0,1,0
161,166,20220124,1,23,23,US74347X8314,2,5,53.56,3,1193.6,0,0,0,0,0,0,1,0
162,166,20220126,1,0,0,US74347X8314,2,3,55.93,3,1197.8,0,0,0,0,0,0,1,0
163,166,20220202,1,1,1,US74347X8314,2,4,62.97,3,1202.4,0,0,0,0,0,0,1,0
164,166,20220228,1,5,5,US74347X8314,2,4,50.89,3,1202.7,0,0,0,0,0,0,1,0
165,166,20220301,1,5,5,US74347X8314,2,4,49.779,3,1202.7,0,0,0,0,0,0,1,0
166,166,20220309,1,1,1,US74347X8314,2,3,45.795,3,1225.4,0,0,0,0,0,0,1,0
167,166,20220315,1,2,2,US74347X8314,2,4,42.31,3,1238.6,0,0,0,0,0,0,1,0
168,166,20220323,1,0,1,US74347X8314,2,3,55.08,3,1221.4,0,0,0,0,0,0,1,0
169,166,20220411,1,5,5,US74347X8314,2,10,48.15,3,1224.0,0,0,0,0,0,0,1,0
170,166,20220427,1,22,23,US74347X8314,2,16,37.95,3,1248.3,0,0,0,0,0,0,1,0
171,166,20220523,1,3,3,US74347X8314,2,20,28.625,3,1269.5,0,0,0,0,0,0,1,0
172,166,20220613,1,23,23,US74347X8314,2,5,23.7199,3,1266.0,0,0,0,0,0,0,1,0
173,180,20220118,1,0,0,KYG4124C1096,2,2,5.7899,3,1192.3,0,0,0,0,0,0,1,0
174,180,20220119,1,2,2,US25400W1027,2,1,44.94,3,1188.9,0,0,0,0,0,0,1,0
175,180,20220119,2,2,2,US25459W4583,2,1,54.2297,3,1188.9,0,0,0,0,0,0,1,0
176,180,20220121,8,7,7,US4642882249,1,2,18.21,3,1190.4,0,0,0,0,0,0,1,0
177,180,20220121,9,7,7,US4642882249,1,27,18.2,3,1190.4,0,0,0,0,0,0,1,0
178,180,20220121,10,7,7,US88160R1014,2,1,939.8,3,1190.4,0,0,0,0,0,0,1,0
179,180,20220121,4,6,6,US91912E1055,1,1,15.6,3,1190.4,0,0,0,0,0,0,1,0
180,180,20220121,5,6,6,US70450Y1038,1,6,163.1,3,1190.4,0,0,0,0,0,0,1,0
181,180,20220121,7,7,7,US4642882249,1,8,18.2,3,1190.4,0,0,0,0,0,0,1,0
182,180,20220121,11,23,23,US25459W4583,1,1,44.7201,3,1190.4,0,0,0,0,0,0,1,0
183,180,20220121,3,6,6,US4642882249,1,1,18.3,3,1190.4,0,0,0,0,0,0,1,0
184,180,20220121,2,6,6,US4642882249,1,2,18.3,3,1190.4,0,0,0,0,0,0,1,0
185,180,20220121,6,7,7,US88160R1014,2,1,939.8,3,1190.4,0,0,0,0,0,0,1,0
186,180,20220121,1,6,6,KYG4124C1096,1,24,5.55,3,1190.4,0,0,0,0,0,0,1,0
187,180,20220125,1,4,4,US0079031078,2,1,113.9495,3,1194.2,0,0,0,0,0,0,1,0
188,180,20220202,6,7,7,US88160R1014,1,5,889.3,3,1202.4,0,0,0,0,0,0,1,0
189,180,20220202,5,7,7,US8740391003,1,5,121.8,3,1202.4,0,0,0,0,0,0,1,0
190,180,20220202,1,6,7,US8740391003,1,9,122.0,3,1202.4,0,0,0,0,0,0,1,0
191,180,20220202,7,7,7,US0378331005,1,5,174.4,3,1202.4,0,0,0,0,0,0,1,0
192,180,20220202,3,7,7,US8740391003,1,3,121.8,3,1202.4,0,0,0,0,0,0,1,0
193,180,20220202,4,7,7,US8740391003,1,1,121.8,3,1202.4,0,0,0,0,0,0,1,0
194,180,20220202,8,7,8,US0378331005,1,4,174.5,3,1202.4,0,0,0,0,0,0,1,0
195,180,20220202,2,6,7,US8740391003,1,1,122.0,3,1202.4,0,0,0,0,0,0,1,0
196,180,20220203,2,22,22,US70450Y1038,1,3,128.76,3,1205.7,0,0,0,0,0,0,1,0
197,180,20220203,1,22,22,US70450Y1038,1,11,128.76,3,1205.7,0,0,0,0,0,0,1,0
198,180,20220203,3,22,22,US25400W1027,1,11,40.82,3,1205.7,0,0,0,0,0,0,1,0
199,180,20220209,1,8,8,US46090E1038,2,1,366.85,3,1197.8,0,0,0,0,0,0,1,0
200,180,20220215,1,6,8,US78462F1030,2,1,445.0,3,1198.3,0,0,0,0,0,0,1,0
201,180,20220215,2,7,7,US5949181045,2,1,300.08,3,1198.3,0,0,0,0,0,0,1,0
202,180,20220215,3,18,18,US46090E1038,2,1,353.16,3,1198.3,0,0,0,0,0,0,1,0
203,180,20220217,1,5,5,US5949181045,2,1,290.2599,3,1196.9,0,0,0,0,0,0,1,0
204,180,20220224,2,6,6,US46090E1038,2,1,339.23,3,1192.1,0,0,0,0,0,0,1,0
205,180,20220224,1,6,6,US78462F1030,2,1,426.33,3,1192.1,0,0,0,0,0,0,1,0
206,180,20220224,3,8,8,US70450Y1038,2,1,106.9,3,1192.1,0,0,0,0,0,0,1,0
207,180,20220225,1,8,9,US26922A8421,2,20,21.96,3,1199.4,0,0,0,0,0,0,1,0
208,180,20220301,4,21,21,US26922A8421,1,1,21.3,3,1202.7,0,0,0,0,0,0,1,0
209,180,20220301,3,19,19,US70450Y1038,1,1,110.84,3,1202.7,0,0,0,0,0,0,1,0
210,180,20220301,5,21,21,US26922A8421,1,1,21.3,3,1202.7,0,0,0,0,0,0,1,0
211,180,20220301,1,8,8,US8740391003,2,1,108.1,3,1202.7,0,0,0,0,0,0,1,0
212,180,20220301,6,23,23,US26922A8421,1,18,20.84,3,1202.7,0,0,0,0,0,0,1,0
213,180,20220301,2,8,8,US74347G4165,2,10,42.04,3,1202.7,0,0,0,0,0,0,1,0
214,180,20220302,1,19,19,US74347G4165,1,10,41.62,3,1205.6,0,0,0,0,0,0,1,0
215,180,20220303,1,7,7,US88160R1014,2,1,841.6,3,1205.0,0,0,0,0,0,0,1,0
216,180,20220303,2,8,8,US74347G4322,2,6,41.89,3,1205.0,0,0,0,0,0,0,1,0
217,180,20220304,2,7,7,US46090E1038,2,1,336.8,3,1203.6,0,0,0,0,0,0,1,0
218,180,20220304,3,23,23,US46090E1038,2,1,337.68,3,1203.6,0,0,0,0,0,0,1,0
219,180,20220304,1,7,7,US0079031078,2,4,108.35,3,1203.6,0,0,0,0,0,0,1,0
220,180,20220307,1,5,5,US5949181045,2,1,281.14,3,1211.5,0,0,0,0,0,0,1,0
221,180,20220307,8,18,18,US88160R1014,2,1,818.65,3,1211.5,0,0,0,0,0,0,1,0
222,180,20220307,5,6,6,US88160R1014,2,1,800.3,3,1211.5,0,0,0,0,0,0,1,0
223,180,20220307,9,22,22,US8740391003,2,1,103.5,3,1211.5,0,0,0,0,0,0,1,0
224,180,20220307,4,6,6,US78462F1030,2,1,418.55,3,1211.5,0,0,0,0,0,0,1,0
225,180,20220307,2,6,6,US46090E1038,2,1,323.8,3,1211.5,0,0,0,0,0,0,1,0
226,180,20220307,3,6,6,US5949181045,2,1,278.26,3,1211.5,0,0,0,0,0,0,1,0
227,180,20220307,6,7,7,US74347G4322,2,4,49.6,3,1211.5,0,0,0,0,0,0,1,0
228,180,20220307,7,18,18,US46090E1038,2,1,331.17,3,1211.5,0,0,0,0,0,0,1,0
229,180,20220310,1,22,22,US74347G4322,1,10,45.5,3,1234.5,0,0,0,0,0,0,1,0
230,180,20220311,1,7,9,US0079031078,2,2,103.85,3,1228.7,0,0,0,0,0,0,1,0
231,180,20220311,2,7,7,US88160R1014,2,1,795.1,3,1228.7,0,0,0,0,0,0,1,0
232,180,20220314,1,4,4,US88160R1014,2,1,758.72,3,1232.4,0,0,0,0,0,0,1,0
233,180,20220317,1,23,23,US0079031078,2,3,112.49,3,1240.4,0,0,0,0,0,0,1,0
234,180,20220321,4,23,23,US88160R1014,1,5,916.88,3,1211.1,0,0,0,0,0,0,1,0
235,180,20220321,2,7,7,US8552441094,2,1,86.85,3,1211.1,0,0,0,0,0,0,1,0
236,180,20220321,1,7,7,US4370761029,2,4,329.35,3,1211.1,0,0,0,0,0,0,1,0
237,180,20220321,3,7,8,US8552441094,2,1,86.8,3,1211.1,0,0,0,0,0,0,1,0
238,180,20220322,12,23,23,US78462F1030,1,2,449.19,3,1213.7,0,0,0,0,0,0,1,0
239,180,20220322,9,23,23,US0079031078,1,8,117.3513,3,1213.7,0,0,0,0,0,0,1,0
240,180,20220322,1,0,0,US0079031078,1,2,117.36,3,1213.7,0,0,0,0,0,0,1,0
241,180,20220322,6,0,0,US4370761029,1,4,324.55,3,1213.7,0,0,0,0,0,0,1,0
242,180,20220322,11,23,23,US5949181045,1,3,303.662,3,1213.7,0,0,0,0,0,0,1,0
243,180,20220322,8,0,0,US8740391003,1,3,107.8,3,1213.7,0,0,0,0,0,0,1,0
244,180,20220322,10,23,23,US46090E1038,1,5,356.0,3,1213.7,0,0,0,0,0,0,1,0
245,180,20220322,7,0,0,US8552441094,1,2,88.7805,3,1213.7,0,0,0,0,0,0,1,0
246,180,20220322,2,0,0,US0378331005,1,1,168.95,3,1213.7,0,0,0,0,0,0,1,0
247,180,20220322,5,0,0,US78462F1030,1,1,448.93,3,1213.7,0,0,0,0,0,0,1,0
248,180,20220322,4,0,0,US5949181045,1,1,304.37,3,1213.7,0,0,0,0,0,0,1,0
249,180,20220322,3,0,0,US46090E1038,1,2,356.99,3,1213.7,0,0,0,0,0,0,1,0
250,180,20220324,2,0,0,US8085247976,2,50,78.5597,3,1212.7,0,0,0,0,0,0,1,0
251,180,20220324,1,0,0,US46138E3624,2,100,46.3299,3,1212.7,0,0,0,0,0,0,1,0
252,180,20220324,4,0,0,US8085247976,2,6,78.5775,3,1212.7,0,0,0,0,0,0,1,0
253,180,20220324,3,0,0,US8085247976,2,4,78.5599,3,1212.7,0,0,0,0,0,0,1,0
254,180,20220331,1,7,7,US19423L5654,2,18,46.1,3,1210.8,0,0,0,0,0,0,1,0
255,180,20220401,1,19,22,US19423L5654,1,18,46.02,3,1210.7,0,0,0,0,0,0,1,0
256,180,20220518,1,2,2,US8085247976,2,10,75.6,3,1277.2,0,0,0,0,0,0,1,0
257,180,20220520,1,23,23,US88160R1014,2,1,674.35,3,1274.6,0,0,0,0,0,0,1,0
258,180,20220523,1,4,4,US88160R1014,1,1,669.6669,3,1269.5,0,0,0,0,0,0,1,0
259,180,20220603,1,19,19,US88160R1014,2,1,745.9,3,1251.2,0,0,0,0,0,0,1,0
260,180,20220613,1,23,23,US88160R1014,2,1,645.0,3,1266.0,0,0,0,0,0,0,1,0
261,180,20220617,1,23,23,US88160R1014,1,2,653.21,3,1284.1,0,0,0,0,0,0,1,0
262,180,20220628,1,7,7,US74347G4322,2,10,56.58,3,1285.6,0,0,0,0,0,0,1,0
263,180,20220629,1,22,22,US74347G4322,1,10,56.4013,3,1284.9,0,0,0,0,0,0,1,0
